experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	0.5131	0.5132	0.5176	0.4175	0.5132	0.5123	0.5790	0.1624	0.4175	0.5196	0.5123	0.5176	0.5594	0.5131	31	uniform random 200bp DNA seed=1
002_encode_ccres	0.6921	0.6929	0.6992	0.5977	0.6929	0.6927	0.7562	0.1248	0.5977	0.6673	0.6927	0.6992	0.7466	0.6921	26	50k ENCODE cCREs stratified by type
003_ccre_random_mix	0.5711	0.5720	0.5821	0.4517	0.5720	0.5693	0.6485	0.1296	0.4517	0.5568	0.5693	0.5821	0.6254	0.5711	45	25k cCREs + 25k uniform random
004_jaspar_motifs_planted	0.4615	0.4627	0.4869	0.2155	0.4627	0.4594	0.6046	0.1045	0.2155	0.4801	0.4594	0.4869	0.5818	0.4615	28	50k random + 2-4 JASPAR motifs planted
005_ccre_rc_jitter	0.6921	0.6929	0.6995	0.5943	0.6929	0.6927	0.7582	0.1221	0.5943	0.6679	0.6927	0.6995	0.7487	0.6921	28	cCREs + ±50bp jitter + 50% RC
006_ccre_tf_evidence	0.6907	0.6915	0.6969	0.6298	0.6915	0.6916	0.7416	0.1247	0.6298	0.6505	0.6916	0.6969	0.7308	0.6907	24	cCREs PLS+pELS+TF+CA-TF only
007_dhs_index_stratified	0.6631	0.6639	0.6730	0.5053	0.6639	0.6632	0.7558	0.1184	0.5053	0.6593	0.6632	0.6730	0.7425	0.6631	26	50k DHS stratified by 16 components
008_ccre_dhs_combined	0.6835	0.6842	0.6909	0.5728	0.6842	0.6839	0.7549	0.1224	0.5728	0.6650	0.6839	0.6909	0.7424	0.6835	32	25k cCREs + 25k DHS (uniform ns>=5)
009_dhs_cell_type_targeted	0.6638	0.6644	0.6708	0.5172	0.6644	0.6637	0.7501	0.1195	0.5172	0.6579	0.6637	0.6708	0.7345	0.6638	31	50k DHS from K562/HepG2/SKNSH-targeted components
010_ccre_unstratified	0.6852	0.6861	0.6942	0.5727	0.6861	0.6859	0.7571	0.1240	0.5727	0.6681	0.6859	0.6942	0.7478	0.6852	30	50k cCREs unstratified (natural distribution)
011_ccre_multitile	0.6916	0.6924	0.6990	0.5941	0.6924	0.6923	0.7570	0.1225	0.5941	0.6674	0.6923	0.6990	0.7471	0.6916	28	25k cCREs x 2 windows (offsets +-50)
012_malinois_random	0.6856	0.6867	0.6945	0.5832	0.6867	0.6861	0.7521	0.1194	0.5832	0.6594	0.6861	0.6945	0.7471	0.6856	29	50k uniform random from Malinois 798k MPRA oligos
013_malinois_active	0.4950	0.4956	0.4950	0.5656	0.4956	0.4954	0.5361	0.1153	0.5656	0.4001	0.4954	0.4950	0.5037	0.4950	31	Top 50k Malinois by max|log2FC|>=3 (selection bias HURTS)
014_ccre_malinois_mix	0.6922	0.6931	0.7001	0.5993	0.6931	0.6931	0.7559	0.1219	0.5993	0.6655	0.6931	0.7001	0.7487	0.6922	24	25k cCRE + 25k random Malinois
