experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_uniform_random	0.4848	0.4851	0.4843	0.4440	0.4851	0.4830	0.5200	0.1613	0.4440	0.4700	0.4830	0.4843	0.4992	0.4848	24.1	uniform random baseline
002_monochromatic	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.6	monochromatic 12.5K each of 0/1/2/3 — NaN, pearson r undefined
003_composition_biased	0.3997	0.3989	0.3985	0.3117	0.3989	0.3972	0.4622	0.1646	0.3117	0.4427	0.3972	0.3985	0.4416	0.3997	12.7	4 sub-libs each biased 55% to one char — all evals worse than baseline
004_markov_autocorrelated	0.2871	0.2859	0.2865	0.2071	0.2859	0.2843	0.3483	0.1317	0.2071	0.3521	0.2843	0.2865	0.3287	0.2871	14.8	Markov P(same)=0.5 — autocorrelation hurts even more than composition bias
005_markov_anticorrelated	0.2438	0.2440	0.2389	0.2345	0.2440	0.2335	0.2335	0.0683	0.2345	0.2246	0.2335	0.2389	0.2294	0.2438	15.3	Markov P(same)=0 — anti-correlation hurts even more
006_human_dna_markov	0.4742	0.4762	0.5066	0.0958	0.4762	0.4688	0.7200	0.0339	0.0958	0.4874	0.4688	0.5066	0.7006	0.4742	13.8	human DNA dinucleotide Markov — split: 07/13 +0.20, 04/08 collapse
007_at_rich_iid	0.4669	0.4691	0.5030	0.0890	0.4691	0.4611	0.7117	0.0418	0.0890	0.4845	0.4611	0.5030	0.6900	0.4669	43.5	AT-rich iid (no dinuc) — captures ~99% of DNA-Markov effect → composition dominant
008_gc_rich_iid	-0.2411	-0.2444	-0.2924	0.1422	-0.2444	-0.2322	-0.5893	0.0577	0.1422	-0.2314	-0.2322	-0.2924	-0.5586	-0.2411	25.3	GC-rich (mirror of 007) — catastrophic, asymmetric vs AT
009_per_seq_uniform_composition	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.2	exact 50/50/50/50 per seq — NaN (target needs per-seq composition variance)
010_dirichlet_per_seq	0.4846	0.4843	0.4839	0.4022	0.4843	0.4831	0.5403	0.1815	0.4022	0.5002	0.4831	0.4839	0.5196	0.4846	25.0	Dirichlet α=10 per-seq weights — eval_01 unchanged; lifts 07/08/10/13
011_tata_motif	0.4401	0.4424	0.4811	0.0729	0.4424	0.4345	0.6924	0.0493	0.0729	0.4571	0.4345	0.4811	0.6714	0.4401	25.6	TATA inserted at random pos — eval_01 -0.045 (motif hurts more than composition)
012_palindromes	0.5718	0.5717	0.5665	0.4697	0.5717	0.5683	0.6267	0.1279	0.4697	0.5686	0.5683	0.5665	0.5987	0.5718	14.2	** PALINDROMES ** eval_01 +0.087 — BREAKTHROUGH, 13/14 evals lift
013_at_palindromes	0.4575	0.4597	0.4948	0.0749	0.4597	0.4514	0.7116	0.0308	0.0749	0.4710	0.4514	0.4948	0.6892	0.4575	14.1	AT-rich palindromes — AT-bias erases palindrome lift on eval_01 (combine FAIL)
014_tandem_duplication	0.5187	0.5190	0.5195	0.4569	0.5190	0.5175	0.5615	0.1677	0.4569	0.5071	0.5175	0.5195	0.5407	0.5187	19.1	tandem h+h — RC-symmetry specifically beats identity; tandem +0.034, RC +0.087
015_noisy_palindromes	0.5801	0.5801	0.5778	0.4487	0.5801	0.5780	0.6487	0.1250	0.4487	0.5878	0.5780	0.5778	0.6216	0.5801	13.3	** NOISY PAL p=0.10 ** NEW BEST eval_01 +0.0083 over pure palindrome
016_noisy_palindromes_p20	0.5759	0.5758	0.5723	0.4499	0.5758	0.5729	0.6399	0.1311	0.4499	0.5854	0.5729	0.5723	0.6162	0.5759	16.9	noisy pal p=0.20 — slightly worse than p=0.10; peak is near 0.10
017_noisy_palindromes_p05	0.5784	0.5784	0.5775	0.4279	0.5784	0.5757	0.6537	0.1271	0.4279	0.5887	0.5757	0.5775	0.6261	0.5784	29.3	noisy pal p=0.05 — slightly worse than p=0.10; sweep confirms p≈0.10 optimum
018_multi_palindrome_4x50	0.5725	0.5724	0.5664	0.4686	0.5724	0.5686	0.6263	0.1267	0.4686	0.5674	0.5686	0.5664	0.5984	0.5725	22.2	4x50bp palindromes — matches 1x200; pal-length is not key knob
019_noisy_multi_pal_4x50	0.5695	0.5694	0.5653	0.4351	0.5694	0.5664	0.6359	0.1286	0.4351	0.5781	0.5664	0.5653	0.6066	0.5695	28.0	noisy multi-pal — combination sub-additive; noise+short blocks slightly worse
020_spacer_palindrome	0.5756	0.5754	0.5718	0.4626	0.5754	0.5725	0.6365	0.1298	0.4626	0.5833	0.5725	0.5718	0.6111	0.5756	14.9	spacer-pal 90+20+90 — mild lift +0.004 over pure pal; spacer helps slightly
