experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform	0.1159	0.1157	0.1265	0.1202	0.1157	0.1243	0.1364	0.0517	0.1202	0.1265	0.1243	0.1265	0.1230	0.1159	11.4	pure uniform random {ACGT} baseline
002_random_genomic_chr22	0.1500	0.1503	0.1590	0.1512	0.1503	0.1418	0.1951	0.0315	0.1512	0.1387	0.1418	0.1590	0.1763	0.1500	12.0	random 200bp windows from GRCh38 chr22
003_ccre_chr22	0.1416	0.1421	0.1496	0.1515	0.1421	0.1461	0.1562	0.0279	0.1515	0.1543	0.1461	0.1496	0.1298	0.1416	10.4	chr22 cCRE-centered windows (21k cCREs, jittered ±25bp)
004_ccre_genomewide	0.1442	0.1462	0.1561	0.1204	0.1462	0.1817	0.1249	0.0472	0.1204	0.1109	0.1817	0.1561	0.1237	0.1442	11.4	50k unique cCREs sampled genome-wide (no jitter, no replacement)
005_mix_random_ccre	0.1563	0.1570	0.1676	0.1500	0.1570	0.1874	0.1740	0.0421	0.1500	0.1165	0.1874	0.1676	0.1566	0.1563	15.5	50/50 mix: 25k random genomic + 25k genome-wide cCRE
006_mix_25_75_ccre_heavy	0.1340	0.1354	0.1428	0.1292	0.1354	0.1172	0.1604	0.0473	0.1292	0.1316	0.1172	0.1428	0.1586	0.1340	10.1	25/75 mix: 12.5k random + 37.5k cCRE (cCRE-heavy)
007_mix_75_25_random_heavy	0.1383	0.1394	0.1449	0.1401	0.1394	0.1213	0.1870	0.0409	0.1401	0.1325	0.1213	0.1449	0.1648	0.1383	13.8	75/25 mix: 37.5k random + 12.5k cCRE (random-heavy)
008_stratified_ccre_types	0.1589	0.1593	0.1720	0.1493	0.1593	0.2021	0.1520	0.0477	0.1493	0.1427	0.2021	0.1720	0.1323	0.1589	13.0	10k rand + stratified cCRE (10k PLS, 10k pELS, 10k dELS, 5k CTCF, 5k DNase-H3K4me3)
009_stratified_50_50	0.1541	0.1544	0.1643	0.1547	0.1544	0.1540	0.1989	0.0429	0.1547	0.1483	0.1540	0.1643	0.1556	0.1541	20.6	25k rand + 25k stratified cCRE (5k each PLS/pELS/dELS/CTCF/DNH3)
010_paired_ccre_flank	0.1657	0.1669	0.1752	0.1690	0.1669	0.1926	0.1674	0.0434	0.1690	0.1457	0.1926	0.1752	0.1206	0.1657	31.6	25k cCRE-centered + 25k paired ±1.5-3kb flanking (cCRE-overlap-checked)
011_stratified_paired_flank	0.1349	0.1350	0.1506	0.1538	0.1350	0.1325	0.1871	0.0466	0.1538	0.1588	0.1325	0.1506	0.1578	0.1349	21.0	25k stratified cCRE (5k each type) + 25k paired flanks (one per positive)
012_hybrid_flank_random	0.1611	0.1621	0.1706	0.1548	0.1621	0.1871	0.1519	0.0407	0.1548	0.1567	0.1871	0.1706	0.1179	0.1611	12.9	20k cCRE + 20k paired flanks + 10k random
013_asym_strat_flank	0.1727	0.1734	0.1841	0.1691	0.1734	0.2184	0.1771	0.0363	0.1691	0.1511	0.2184	0.1841	0.1257	0.1727	23.7	15k uniform cCRE + 5k CTCF + 5k DNH3, all paired with flanks
