experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_uniform_random	0.1272	0.1276	0.1438	0.1333	0.1276	0.1520	0.1514	0.0524	0.1333	0.1326	0.1520	0.1438	0.1331	0.1272	14.2	uniform random baseline
002_homopolymer_mix	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	20.0	homopolymer mix (12.5k each base) — NaN, library too low-diversity
003_dirichlet_composition	0.1118	0.1119	0.1205	0.1180	0.1119	0.1226	0.1508	0.0391	0.1180	0.1164	0.1226	0.1205	0.1160	0.1118	13.7	per-sequence Dirichlet(0.5) composition diversity
004_balanced_shuffled	0.1243	0.1245	0.1408	0.1281	0.1245	0.1510	0.1276	0.0566	0.1281	0.1196	0.1510	0.1408	0.1237	0.1243	12.1	exactly 50 of each base, random per-seq permutation
005_pair_02_only	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	19.2	random over {0,2} only — NaN (library must contain all 4 bases)
006_noisy_periodic_0123	0.1550	0.1552	0.1643	0.1558	0.1552	0.1973	0.1354	0.0498	0.1558	0.1357	0.1973	0.1643	0.1135	0.1550	13.4	noisy 0123 periodic, p_template=0.7
007_periodic_0123_p90	0.1307	0.1311	0.1403	0.1317	0.1311	0.1621	0.1182	0.0362	0.1317	0.1206	0.1621	0.1403	0.0978	0.1307	14.3	periodic 0123 with stronger p=0.9 (worse than p=0.7)
008_random_per_pos_template	0.0977	0.0981	0.1130	0.0959	0.0981	0.1039	0.1171	0.0469	0.0959	0.1561	0.1039	0.1130	0.1109	0.0977	14.8	random preferred base per position, p=0.7 (worse than baseline)
009_period4_0213	0.0949	0.0948	0.1072	0.0931	0.0948	0.1330	0.0903	0.0412	0.0931	0.0894	0.1330	0.1072	0.0891	0.0949	20.7	period-4 motif 0,2,1,3 at p=0.7 (wrong ordering)
010_period4_0123_p50	0.1534	0.1535	0.1626	0.1547	0.1535	0.1941	0.1352	0.0517	0.1547	0.1352	0.1941	0.1626	0.1149	0.1534	10.8	period-4 0123 at p=0.5 (≈ p=0.7)
011_phase1_1230_p70	0.1181	0.1193	0.1346	0.1153	0.1193	0.1038	0.1658	0.0595	0.1153	0.1398	0.1038	0.1346	0.1568	0.1181	12.2	phase-shifted period-4 (1,2,3,0) p=0.7
012_blocked_ascending	0.0864	0.0873	0.0965	0.0882	0.0873	0.0824	0.1194	0.0418	0.0882	0.1144	0.0824	0.0965	0.1064	0.0864	13.1	blocked ascending 0/0/0... 1/1/1... etc, p=0.7
013_variable_p_0123	0.1245	0.1247	0.1365	0.1250	0.1247	0.1498	0.1161	0.0388	0.1250	0.1261	0.1498	0.1365	0.1017	0.1245	12.2	0123 template with per-seq p~U[0.05,0.95] (variance hypothesis failed)
014_period4_0321_reverse	0.1536	0.1538	0.1621	0.1519	0.1538	0.1875	0.1371	0.0462	0.1519	0.1298	0.1875	0.1621	0.1125	0.1536	17.6	period-4 reverse (0,3,2,1) at p=0.7 (≈0123)
