experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	0.1307	0.1315	0.1393	0.1257	0.1315	0.1439	0.1305	0.0501	0.1257	0.1312	0.1439	0.1393	0.1173	0.1307	41.2	50k uniformly random 200bp
002_gc60_random	0.0995	0.1002	0.1111	0.1071	0.1002	0.1094	0.1086	0.0578	0.1071	0.1081	0.1094	0.1111	0.0958	0.0995	21.7	50k random, GC=0.6
003_gc40_random	0.1287	0.1292	0.1445	0.1274	0.1292	0.1580	0.1413	0.0561	0.1274	0.1166	0.1580	0.1445	0.1354	0.1287	28.3	50k random, GC=0.4
004_motif_mix	0.1112	0.1116	0.1201	0.1187	0.1116	0.1081	0.1505	0.0542	0.1187	0.1336	0.1081	0.1201	0.1291	0.1112	12.3	50k random + curated TF motifs (1-4/seq)
005_malinois_random50k	0.1524	0.1539	0.1621	0.1720	0.1539	0.1314	0.1998	0.0343	0.1720	0.1061	0.1314	0.1621	0.1814	0.1524	34.9	random 50k from Gosai/Malinois MPRA
006_malinois_sknsh_extremes	0.1608	0.1627	0.1774	0.1738	0.1627	0.2111	0.1459	0.0484	0.1738	0.1503	0.2111	0.1774	0.1392	0.1608	36.5	25k top + 25k bottom SKNSH_lfc
007_malinois_triextreme	0.1711	0.1717	0.1869	0.1827	0.1717	0.2524	0.1523	0.0492	0.1827	0.1543	0.2524	0.1869	0.1252	0.1711	32.0	per-cell-line extremes (3 cells)
008_malinois_top50k_absmax	0.1551	0.1557	0.1640	0.1798	0.1557	0.1851	0.1434	0.0379	0.1798	0.1502	0.1851	0.1640	0.1105	0.1551	33.6	top 50k by max(|K|,|H|,|S|)
009_malinois_k562_extremes	0.1702	0.1714	0.1804	0.1736	0.1714	0.2193	0.1374	0.0399	0.1736	0.1353	0.2193	0.1804	0.1210	0.1702	43.0	25k top + 25k bottom K562_lfc
010_malinois_zscore_extremes	0.1621	0.1634	0.1671	0.1802	0.1634	0.1514	0.2003	0.0424	0.1802	0.1282	0.1514	0.1671	0.1531	0.1621	32.2	top z-mag (|lfc|/se) per cell, union
