experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_uniform_random	0.4200	0.4197	0.4190	0.4262	0.4197	0.4199	0.4238	0.3788	0.4262	0.4265	0.4199	0.4190	0.4223	0.4200	34.4	uniform random baseline (seed 42)
002_single_char	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.5	constant-per-seq → undefined correlation
003_composition_split	0.3326	0.3327	0.3295	0.3268	0.3327	0.3325	0.3354	0.2618	0.3268	0.3346	0.3325	0.3295	0.3335	0.3326	19.6	4x12500 chunks, each 70% one char
004_exact_uniform	0.3077	0.3075	0.3029	0.3303	0.3075	0.3089	0.2846	0.3648	0.3303	0.3409	0.3089	0.3029	0.2826	0.3077	19.5	exactly 50 of each char per seq
005_dirichlet_composition	0.3590	0.3587	0.3576	0.3628	0.3587	0.3594	0.3591	0.2734	0.3628	0.3584	0.3594	0.3576	0.3565	0.3590	40.3	per-seq Dirichlet(1) composition
006_markov_dinuc_bias	0.2963	0.2960	0.2932	0.2843	0.2960	0.2958	0.2957	0.2647	0.2843	0.2875	0.2958	0.2932	0.2935	0.2963	33.1	Markov order-1, 0->1/1->0/2->3/3->2 enriched at 0.55
007_random_seed_check	0.4239	0.4235	0.4208	0.4237	0.4235	0.4233	0.4261	0.3836	0.4237	0.4279	0.4233	0.4208	0.4248	0.4239	37.0	iid random seed=1234567 (reproducibility check)
008_hybrid_outliers	0.4047	0.4042	0.4008	0.4042	0.4042	0.4043	0.4141	0.3817	0.4042	0.4170	0.4043	0.4008	0.4049	0.4047	48.6	98% iid + 2% extreme outliers (90% one char)
009_motif_insertion	0.4197	0.4194	0.4185	0.4267	0.4194	0.4198	0.4231	0.3792	0.4267	0.4272	0.4198	0.4185	0.4211	0.4197	58.2	"1212" inserted at pos 95-98 in half the seqs
010_per_position_pswm	0.4190	0.4187	0.4151	0.4240	0.4187	0.4184	0.4201	0.3719	0.4240	0.4262	0.4184	0.4151	0.4202	0.4190	49.1	per-position Dirichlet(1) PSWM, same for all seqs
011_iid_mild_bias_0	0.4272	0.4271	0.4261	0.4237	0.4271	0.4277	0.4330	0.3784	0.4237	0.4339	0.4277	0.4261	0.4278	0.4272	45.9	iid p=(0.30,0.233,0.233,0.233) - mild bias toward '0'
012_iid_mild_bias_1	0.4176	0.4173	0.4160	0.4228	0.4173	0.4172	0.4267	0.3694	0.4228	0.4200	0.4172	0.4160	0.4163	0.4176	46.1	iid p=(0.233,0.30,0.233,0.233) - mild bias toward '1'
013_iid_mild_bias_2	0.4158	0.4154	0.4123	0.4238	0.4154	0.4155	0.4232	0.3718	0.4238	0.4242	0.4155	0.4123	0.4187	0.4158	46.5	iid p=(0.233,0.233,0.30,0.233) - mild bias toward '2'
