experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	0.4203	0.4203	0.4169	0.4250	0.4203	0.4201	0.4226	0.3809	0.4250	0.4248	0.4201	0.4169	0.4210	0.4203	16.8	uniform random 25% each base seed=0
002_tf_motif_pool	0.4232	0.4233	0.4230	0.4261	0.4233	0.4235	0.4298	0.3819	0.4261	0.4294	0.4235	0.4230	0.4246	0.4232	32.0	3 canonical TF motifs embedded per sequence
003_high_gc_cpg	0.3567	0.3564	0.3532	0.3705	0.3564	0.3563	0.3596	0.3169	0.3705	0.3613	0.3563	0.3532	0.3543	0.3567	33.0	GC=70% biased random (p_C=p_G=0.35)
004_low_gc	0.3692	0.3690	0.3674	0.3491	0.3690	0.3686	0.3795	0.3269	0.3491	0.3827	0.3686	0.3674	0.3798	0.3692	66.0	GC=30% biased random (p_A=p_T=0.35)
005_dense_celltype_motifs	0.4101	0.4100	0.4075	0.4171	0.4100	0.4106	0.4152	0.3608	0.4171	0.4165	0.4106	0.4075	0.4142	0.4101	110.0	6 cell-type-weighted motifs per seq
006_natural_genomic	0.3975	0.3973	0.3962	0.4025	0.3973	0.3978	0.3975	0.3159	0.4025	0.3990	0.3978	0.3962	0.3943	0.3975	62.0	natural hg38 200bp windows across 12 chromosomes
007_mix_random_natural	0.3967	0.3967	0.3950	0.3994	0.3967	0.3975	0.3986	0.3469	0.3994	0.4018	0.3975	0.3950	0.3951	0.3967	42.0	25k random + 25k natural genomic
008_markov1_natural	0.4094	0.4091	0.4075	0.4061	0.4091	0.4092	0.4161	0.3516	0.4061	0.4178	0.4092	0.4075	0.4112	0.4094	51.0	first-order Markov from hg38 dinucleotide freqs
009_random_plus_neural	0.4186	0.4184	0.4195	0.4283	0.4184	0.4197	0.4237	0.3744	0.4283	0.4280	0.4197	0.4195	0.4247	0.4186	65.0	random + 3 neural motifs (homeobox/bHLH)
010_ccre	0.3898	0.3898	0.3893	0.3973	0.3898	0.3908	0.3883	0.3192	0.3973	0.3979	0.3908	0.3893	0.3859	0.3898	63.0	50k ENCODE cCRE-centered 200bp windows (mostly dELS)
011_random_seed42	0.4235	0.4231	0.4223	0.4300	0.4231	0.4237	0.4327	0.3804	0.4300	0.4304	0.4237	0.4223	0.4212	0.4235	51.0	random seed=42 (noise floor probe)
012_shuffled_natural	0.3632	0.3627	0.3598	0.3567	0.3627	0.3628	0.3677	0.3282	0.3567	0.3751	0.3628	0.3598	0.3652	0.3632	48.0	per-seq mono-shuffled natural sequences
013_balanced_50bp	0.3242	0.3241	0.3192	0.3436	0.3241	0.3238	0.2980	0.3647	0.3436	0.3488	0.3238	0.3192	0.2987	0.3242	52.0	exactly 50A:50C:50G:50T per sequence
014_natural_filtered_gc	0.3987	0.3984	0.3991	0.4029	0.3984	0.3987	0.3967	0.3109	0.4029	0.3913	0.3987	0.3991	0.3956	0.3987	47.0	natural windows filtered to GC in [0.45, 0.55]; SKNSH best=0.109
015_chimera_rand_nat	0.4197	0.4195	0.4155	0.4155	0.4195	0.4197	0.4212	0.3783	0.4155	0.4252	0.4197	0.4155	0.4140	0.4197	36.0	170bp random + 30bp natural insert at random position
016_chimera_60bp	0.4059	0.4055	0.4028	0.4058	0.4055	0.4062	0.4069	0.3633	0.4058	0.4119	0.4062	0.4028	0.4037	0.4059	47.0	chimera 140bp random + 60bp natural insert
