experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform	0.3068	0.3069	0.3309	0.2669	0.3069	0.3294	0.4024	0.1098	0.2669	0.3566	0.3294	0.3309	0.3809	0.3068	88	random uniform DNA, seed=0
002_natural_random_genomic	0.4798	0.4804	0.5215	0.4957	0.4804	0.5199	0.6002	0.0934	0.4957	0.5295	0.5199	0.5215	0.5896	0.4798	82	random 200bp windows from hg38 chr1-22,X,Y
003_ccre_centered	0.3446	0.3449	0.3713	0.4215	0.3449	0.3618	0.2826	0.0821	0.4215	0.4471	0.3618	0.3713	0.3503	0.3446	78	high-conf cCRE centered 200bp
004_mix_natural_ccre	0.4937	0.4945	0.5318	0.5086	0.4945	0.5309	0.6023	0.0906	0.5086	0.5415	0.5309	0.5318	0.5873	0.4937	87	25K natural + 25K cCRE 50/50 mix
005_synthetic_motif	0.1548	0.1557	0.1768	0.0435	0.1557	0.1621	0.3765	0.0440	0.0435	0.0897	0.1621	0.1768	0.3003	0.1548	75	3 JASPAR motifs embedded in 40% GC random bg
006_natural_plus_motif	0.4701	0.4708	0.5119	0.4756	0.4708	0.5094	0.5939	0.0905	0.4756	0.5163	0.5094	0.5119	0.5821	0.4701	61	50K natural genomic + 1-2 JASPAR motif inserts each
007_mix_natural_dhs	0.4898	0.4904	0.5260	0.5093	0.4904	0.5275	0.5972	0.0955	0.5093	0.5450	0.5275	0.5260	0.5894	0.4898	61	25K natural + 25K DHS summits
008_three_way_mix_shuffled	0.4934	0.4940	0.5299	0.5028	0.4940	0.5297	0.6061	0.0914	0.5028	0.5389	0.5297	0.5299	0.5863	0.4934	72	20K natural + 15K cCRE + 15K dinuc-shuffled natural
009_offcenter_ccre_mix	0.4956	0.4963	0.5334	0.5103	0.4963	0.5325	0.6025	0.0917	0.5103	0.5412	0.5325	0.5334	0.5882	0.4956	56	25K natural + 25K cCRE at random offset within 200bp
010_mouse_human_mix	0.4739	0.4750	0.5220	0.4873	0.4750	0.5130	0.5760	0.0962	0.4873	0.5065	0.5130	0.5220	0.5755	0.4739	64	25K human natural + 25K mouse mm39 natural
011_four_way_mix	0.5012	0.5021	0.5427	0.5180	0.5021	0.5387	0.5955	0.0953	0.5180	0.5451	0.5387	0.5427	0.5946	0.5012	73	20K nat + 15K cCRE off + 10K DHS + 5K mouse (NEW BEST)
012_more_regulatory	0.4979	0.4987	0.5402	0.5204	0.4987	0.5360	0.5899	0.0977	0.5204	0.5427	0.5360	0.5402	0.5877	0.4979	72	15K nat + 20K cCRE off + 10K DHS + 5K mouse
013_five_way_fantom	0.4990	0.4997	0.5390	0.5153	0.4997	0.5358	0.5934	0.0978	0.5153	0.5463	0.5358	0.5390	0.5893	0.4990	56	20K nat+12K cCRE off+8K DHS+5K FANTOM5+5K mouse
014_noise_estimate_seed1	0.4971	0.4980	0.5373	0.5128	0.4980	0.5356	0.5920	0.0980	0.5128	0.5458	0.5356	0.5373	0.5911	0.4971	26	exp 011 design with seed=1 (noise floor estimate)
015_chip_replaces_ccre	0.5002	0.5011	0.5393	0.5206	0.5011	0.5371	0.5925	0.1019	0.5206	0.5440	0.5371	0.5393	0.5923	0.5002	25	20K nat + 15K ReMap ChIP + 10K DHS + 5K mouse
016_rc_augmented	0.4961	0.4971	0.5394	0.5170	0.4971	0.5338	0.5870	0.0978	0.5170	0.5440	0.5338	0.5394	0.5881	0.4961	28	25K exp011 mix + 25K reverse-complements
017_motif_rich_natural	0.4866	0.4876	0.5278	0.5070	0.4876	0.5222	0.5635	0.0943	0.5070	0.5263	0.5222	0.5278	0.5595	0.4866	30	20K PWM-curated natural + exp011 ccre/dhs/mouse
018_phastcons_substitution	0.4926	0.4934	0.5320	0.5132	0.4934	0.5306	0.5941	0.1014	0.5132	0.5371	0.5306	0.5320	0.5898	0.4926	30	20K nat + 15K phastCons LOD>=50 + 10K DHS + 5K mouse
