experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform	0.2974	0.2975	0.3292	0.2862	0.2975	0.3242	0.4218	0.1047	0.2862	0.3702	0.3242	0.3292	0.3959	0.2974	21.7	Python random seed=42 uniform
002_identical	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	37.1	50K identical (Pearson collapse)
003_diverse_replicates	0.1696	0.1698	0.2002	0.1724	0.1698	0.1879	0.2086	0.0325	0.1724	0.1741	0.1879	0.2002	0.1974	0.1696	33.6	1000 unique x 50 copies
004_gc_only	0.0190	0.0187	0.0312	0.0093	0.0187	0.0175	0.0175	0.0411	0.0093	0.0456	0.0175	0.0312	0.0699	0.0190	33.7	random over {1,2}
005_at_only	0.1601	0.1601	0.1733	0.1312	0.1601	0.1827	0.2543	0.0443	0.1312	0.1286	0.1827	0.1733	0.2191	0.1601	24.3	random over {0,3}
006_compositional_gradient	0.2501	0.2500	0.2608	0.1618	0.2500	0.2591	0.4123	0.0520	0.1618	0.2097	0.2591	0.2608	0.3362	0.2501	16.1	per-seq varied GC fraction
007_homopolymers	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	27.6	12.5K each of 4 homopolymers
008_balanced_per_seq	0.2848	0.2846	0.3111	0.2513	0.2846	0.3044	0.3901	0.1097	0.2513	0.3450	0.3044	0.3111	0.3657	0.2848	21.6	per-seq exact balance (50 each)
009_markov_dinuc	0.1788	0.1793	0.2023	0.1085	0.1793	0.1901	0.3967	0.0640	0.1085	0.1289	0.1901	0.2023	0.3287	0.1788	25.0	1st-order Markov AT-bias
010_motif_inserts	0.2778	0.2781	0.3073	0.2229	0.2781	0.3004	0.3807	0.0999	0.2229	0.3538	0.3004	0.3073	0.3735	0.2778	25.4	random + 10 random 5-mer motifs per seq
011_uniform_seed1	0.3226	0.3224	0.3431	0.3063	0.3224	0.3418	0.3996	0.1000	0.3063	0.3912	0.3418	0.3431	0.3982	0.3226	34.2	Python random seed=1
012_heterogeneous_mix	0.3069	0.3070	0.3129	0.2958	0.3070	0.3028	0.3636	0.0746	0.2958	0.3008	0.3028	0.3129	0.3514	0.3069	22.3	4x12.5K 50%-biased compositions
013_markov_symmetric	0.1914	0.1911	0.1826	0.1770	0.1911	0.1774	0.2353	0.0651	0.1770	0.1656	0.1774	0.1826	0.2050	0.1914	24.1	symmetric Markov uniform stationary
014_tf_motifs	0.2846	0.2844	0.3140	0.2649	0.2844	0.3058	0.4287	0.0765	0.2649	0.3218	0.3058	0.3140	0.3889	0.2846	38.2	random + canonical TF motifs
015_uniform_seed2	0.3292	0.3295	0.3504	0.2960	0.3295	0.3494	0.4293	0.1052	0.2960	0.3736	0.3494	0.3504	0.4077	0.3292	54.6	Python random seed=2
016_latin_hypercube	0.3134	0.3137	0.3408	0.2884	0.3137	0.3363	0.4066	0.1044	0.2884	0.3809	0.3363	0.3408	0.3987	0.3134	39.9	exact positional balance
017_more_seeds	0.3425	0.3428	0.3687	0.3043	0.3428	0.3669	0.4499	0.1095	0.3043	0.4017	0.3669	0.3687	0.4341	0.3425	31.4	numpy PCG64 seed=42
018_seed_combine	0.3242	0.3242	0.3499	0.2933	0.3242	0.3494	0.4362	0.0999	0.2933	0.3814	0.3494	0.3499	0.4161	0.3242	29.3	combine Py seed=1 + Py seed=2
019_np_seed1	0.2883	0.2883	0.3237	0.2475	0.2883	0.3165	0.4325	0.1106	0.2475	0.3616	0.3165	0.3237	0.4051	0.2883	48.7	numpy seed=1
020_np_seed99	0.2971	0.2970	0.3195	0.2665	0.2970	0.3160	0.3785	0.1061	0.2665	0.3736	0.3160	0.3195	0.3721	0.2971	52.7	numpy seed=99
021_np_seed2026	0.3292	0.3292	0.3503	0.3053	0.3292	0.3490	0.4127	0.1159	0.3053	0.3879	0.3490	0.3503	0.4079	0.3292	19.6	numpy seed=2026
022_secrets	0.3450	0.3454	0.3754	0.3237	0.3454	0.3704	0.4452	0.1082	0.3237	0.3991	0.3704	0.3754	0.4292	0.3450	28.9	secrets (OS cryptographic random)
023_np_seed7	0.3006	0.3002	0.3264	0.2901	0.3002	0.3216	0.4029	0.1003	0.2901	0.3770	0.3216	0.3264	0.3982	0.3006	24.0	numpy seed=7
024_np_seed12345	0.3253	0.3255	0.3475	0.2998	0.3255	0.3442	0.4272	0.1099	0.2998	0.3751	0.3442	0.3475	0.4162	0.3253	24.0	numpy seed=12345
025_secrets2	0.3173	0.3170	0.3440	0.2989	0.3170	0.3360	0.3933	0.1005	0.2989	0.3836	0.3360	0.3440	0.3879	0.3173	24.0	secrets v2 (different entropy)
026_np_seed8	0.3564	0.3569	0.3852	0.3349	0.3569	0.3818	0.4471	0.1084	0.3349	0.4084	0.3818	0.3852	0.4330	0.3564	24.0	numpy PCG64 seed=8 (BEST)
