experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform	0.3308	0.3312	0.3574	0.3011	0.3312	0.3508	0.4201	0.1092	0.3011	0.3832	0.3508	0.3574	0.4002	0.3308	39.9	uniform random DNA baseline
002_ap1_center	0.2775	0.2783	0.3012	0.2373	0.2783	0.3013	0.3591	0.0780	0.2373	0.3407	0.3013	0.3012	0.3608	0.2775	35.0	AP-1 TGAGTCA at pos 96 in random
003_gc_tiers	0.2670	0.2666	0.2747	0.1927	0.2666	0.2737	0.4139	0.0480	0.1927	0.2223	0.2737	0.2747	0.3437	0.2670	35.0	GC tiers 0.30/0.45/0.55/0.70
004_random_seed99	0.3222	0.3225	0.3484	0.2896	0.3225	0.3447	0.4400	0.1037	0.2896	0.3756	0.3447	0.3484	0.4166	0.3222	31.0	random uniform seed=99 (control)
005_markov_humanlike	0.1694	0.1697	0.1710	0.1555	0.1697	0.1580	0.1913	0.0706	0.1555	0.1607	0.1580	0.1710	0.1834	0.1694	32.0	1st-order Markov CpG-depleted
006_motif_random_pos	0.3282	0.3287	0.3587	0.2972	0.3287	0.3517	0.4471	0.1086	0.2972	0.3720	0.3517	0.3587	0.4290	0.3282	33.0	1 random motif at random position in uniform random
007_motif_density3	0.3201	0.3209	0.3388	0.2721	0.3209	0.3383	0.4471	0.0915	0.2721	0.3451	0.3383	0.3388	0.4235	0.3201	39.0	3 motifs at random positions per seq
008_ap1_random_pos	0.2610	0.2617	0.2833	0.2131	0.2617	0.2827	0.3420	0.0674	0.2131	0.2958	0.2827	0.2833	0.3265	0.2610	32.0	AP-1 only at random pos in every seq
009_perfect_column_balance	0.2904	0.2907	0.3215	0.2697	0.2907	0.3099	0.4239	0.1084	0.2697	0.3658	0.3099	0.3215	0.4006	0.2904	32.0	exact 12500 per base per column
010_mix_uniform_motif	0.3045	0.3047	0.3271	0.2682	0.3047	0.3265	0.3980	0.1069	0.2682	0.3608	0.3265	0.3271	0.3823	0.3045	28.0	50% uniform + 50% with random motif
011_motif_pool32	0.3443	0.3445	0.3702	0.3244	0.3445	0.3676	0.4589	0.1027	0.3244	0.3973	0.3676	0.3702	0.4418	0.3443	31.0	32-motif pool 1/seq random pos *BEST*
012_motif_pool64	0.3263	0.3264	0.3445	0.3105	0.3264	0.3468	0.4116	0.1027	0.3105	0.3930	0.3468	0.3445	0.3992	0.3263	30.0	64-motif pool (dilutes signal)
013_pool32_seed2	0.3687	0.3694	0.4001	0.3519	0.3694	0.3987	0.4975	0.1033	0.3519	0.4023	0.3987	0.4001	0.4654	0.3687	33.0	32-motif pool seed 53 *NEW BEST*
014_pool32_2motifs	0.3483	0.3486	0.3746	0.3339	0.3486	0.3801	0.4848	0.1115	0.3339	0.4066	0.3801	0.3746	0.4653	0.3483	37.0	32-motif pool 2 motifs/seq
015_pool32_seed100	0.3249	0.3252	0.3559	0.2840	0.3252	0.3521	0.4641	0.1060	0.2840	0.3791	0.3521	0.3559	0.4425	0.3249	33.0	32-pool replicate seed=100
016_pool32_seed200	0.3478	0.3481	0.3812	0.3128	0.3481	0.3748	0.4484	0.1091	0.3128	0.4057	0.3748	0.3812	0.4387	0.3478	28.0	32-pool replicate seed=200
017_pool32_seed300	0.3336	0.3336	0.3586	0.2938	0.3336	0.3571	0.4531	0.1039	0.2938	0.3826	0.3571	0.3586	0.4225	0.3336	32.0	32-pool replicate seed=300
018_pool64_curated	0.3564	-	-	-	-	-	-	-	-	-	-	-	-	-	30.0	curated 66-motif pool seed=60 (full data in result.json)
019_curated_seed61	0.3220	-	-	-	-	-	-	-	-	-	-	-	-	-	30.0	curated 66-motif pool seed=61
020_jaspar_pwm_pool	0.3243	0.3246	0.3408	0.3000	0.3246	0.3403	0.4016	0.1064	0.3000	0.3843	0.3403	0.3408	0.3890	0.3243	33.0	JASPAR 814-motif PWM-sampled pool (dilutes)
021_pool32_rc_aug	0.3475	0.3475	0.3729	0.3256	0.3475	0.3707	0.4593	0.1024	0.3256	0.3993	0.3707	0.3729	0.4377	0.3475	43.0	32-pool + RC augmentation seed=53
022_pool32_pwm_noise	0.3412	0.3412	0.3720	0.3240	0.3412	0.3701	0.4732	0.1067	0.3240	0.3946	0.3701	0.3720	0.4499	0.3412	38.0	32-pool + per-base p=0.15 mutation seed=53
023_pool16_top	0.3538	0.3544	0.3868	0.3224	0.3544	0.3807	0.5026	0.0981	0.3224	0.4057	0.3807	0.3868	0.4687	0.3538	42.0	16-motif top pool seed=53
024_pool8_top	0.3469	0.3472	0.3733	0.3186	0.3472	0.3679	0.4808	0.0973	0.3186	0.3945	0.3679	0.3733	0.4448	0.3469	46.0	8-motif pool seed=53
025_pool24	0.3681	0.3685	0.4000	0.3404	0.3685	0.3979	0.5161	0.0990	0.3404	0.4144	0.3979	0.4000	0.4717	0.3681	34.0	24-motif pool seed=53 *tie best*
026_pool24_s100	0.3292	0.3294	0.3545	0.2955	0.3294	0.3514	0.4535	0.1008	0.2955	0.3750	0.3514	0.3545	0.4301	0.3292	37.0	24-pool seed=100
027_pool24_s200	0.3372	0.3373	0.3698	0.3125	0.3373	0.3654	0.4395	0.1069	0.3125	0.4056	0.3654	0.3698	0.4318	0.3372	36.0	24-pool seed=200
028_pool24_s7	0.3547	0.3551	0.3826	0.3534	0.3551	0.3835	0.4514	0.1127	0.3534	0.4170	0.3835	0.3826	0.4335	0.3547	30.0	24-pool seed=7
029_pool24_s42	0.3722	0.3728	0.4030	0.3429	0.3728	0.4007	0.4974	0.1074	0.3429	0.4192	0.4007	0.4030	0.4622	0.3722	33.0	24-pool seed=42 **NEW BEST**
030_pool24_s999	0.3543	0.3546	0.3854	0.3206	0.3546	0.3847	0.4843	0.1003	0.3206	0.3950	0.3847	0.3854	0.4562	0.3543	33.0	24-pool seed=999
