experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	k562_r	hepg2_r	sknsh_r	time_s	description
001_random_uniform	0.0420	0.0422	0.0407	0.0456	0.0422	0.0415	0.0252	0.1242	0.0456	0.0289	0.0415	0.0407	0.0203	0.0420	0.0445	0.0376	0.0505	0.0386	11.5	random uniform ACGT baseline
002_dinuc_markov	0.0094	0.0088	0.0081	0.0190	0.0088	0.0084	0.0066	0.0663	0.0190	0.0190	0.0084	0.0081	0.0023	0.0094	0.0144	0.0341	-0.0334	0.0397	13.2	1st-order Markov genomic dinuc composition
003_hg38_random_windows	0.0490	0.0489	0.0472	0.0572	0.0489	0.0472	0.0320	0.0492	0.0572	0.0265	0.0472	0.0472	0.0336	0.0490	0.0457	0.0384	0.0494	0.0451	10.0	random 200bp windows from chr8/19/22 (no N)
004_encode_ccres	0.0432	0.0431	0.0421	0.0504	0.0431	0.0431	0.0255	0.0664	0.0504	0.0316	0.0431	0.0421	0.0252	0.0432	0.0423	0.0386	0.0420	0.0463	19.8	ENCODE V3 cCRE-centered 200bp windows
005_synthetic_motifs	0.0401	0.0402	0.0390	0.0460	0.0402	0.0397	0.0282	0.1240	0.0460	0.0330	0.0397	0.0390	0.0218	0.0401	0.0436	0.0376	0.0489	0.0382	14.0	random bg + 1-5 canonical TF motifs injected
006_multi_source_diverse	0.0446	0.0449	0.0448	0.0547	0.0449	0.0450	0.0295	0.0802	0.0547	0.0319	0.0450	0.0448	0.0318	0.0446	0.0451	0.0382	0.0489	0.0454	10.0	mix of cCRE + hg38 + dense-motif synthetic (1/3 each)
007_hg38_random_seed1	0.0523	0.0524	0.0498	0.0536	0.0524	0.0513	0.0331	0.0473	0.0536	0.0303	0.0513	0.0498	0.0322	0.0523	0.0473	0.0374	0.0586	0.0458	13.0	hg38 random replicate (seed=1) — variance check
008_promoters_pls	0.0387	0.0390	0.0350	0.0434	0.0390	0.0386	0.0233	0.0635	0.0434	0.0302	0.0386	0.0350	0.0182	0.0387	0.0388	0.0366	0.0391	0.0367	11.0	PLS + pELS promoter-like cCREs only
009_motif_dominated	0.0348	0.0351	0.0330	0.0385	0.0351	0.0349	0.0245	0.0669	0.0385	0.0277	0.0349	0.0330	0.0222	0.0348	0.0353	0.0331	0.0363	0.0354	31.0	~80% motif content via tiled TF motifs (33 motifs)
010_hg38_allchr	0.0480	0.0480	0.0469	0.0487	0.0480	0.0475	0.0331	0.0395	0.0487	0.0265	0.0475	0.0469	0.0376	0.0480	0.0446	0.0364	0.0526	0.0429	14.0	hg38 random windows from all 24 chromosomes
011_satmut_ccres	0.0295	0.0292	0.0266	0.0371	0.0292	0.0286	0.0174	0.0395	0.0371	0.0216	0.0286	0.0266	0.0113	0.0295	0.0280	0.0263	0.0254	0.0325	12.0	500 cCREs x 100 mutational variants each
012_5gram_markov	-0.0261	-0.0264	-0.0259	-0.0262	-0.0264	-0.0264	-0.0154	-0.0541	-0.0262	-0.0128	-0.0264	-0.0259	-0.0099	-0.0261	-0.0253	-0.0148	-0.0474	-0.0138	13.7	5-gram (4th-order) Markov synthetic matched to chr8
013_hg38_ccre_enriched	0.0493	0.0493	0.0478	0.0489	0.0493	0.0486	0.0348	0.0432	0.0489	0.0293	0.0486	0.0478	0.0363	0.0493	0.0451	0.0382	0.0535	0.0436	46.5	40K random hg38 + 10K cCRE-centered windows
014_hg38_rc_pairs	0.0479	0.0478	0.0460	0.0490	0.0478	0.0470	0.0371	0.0380	0.0490	0.0276	0.0470	0.0460	0.0343	0.0479	0.0437	0.0358	0.0506	0.0449	42.2	25K random hg38 with each contributing forward+RC pair
