experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform	0.0408	0.0408	0.0395	0.0475	0.0408	0.0402	0.0246	0.1222	0.0475	0.0306	0.0402	0.0395	0.0191	0.0408	18.2	random uniform seed=42
002_all_zeros	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	24.8	all '0'*200 (constant probe)
003_bimodal_0_and_1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14.1	25K all-0 + 25K all-1
004_random_2letters	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	33.1	uniform over {0,1} alphabet only
005_gc_biased	-0.0350	-0.0352	-0.0341	-0.0405	-0.0352	-0.0346	-0.0228	-0.0859	-0.0405	-0.0301	-0.0346	-0.0341	-0.0213	-0.0350	28.6	60% GC content
006_at_biased	-0.0337	-0.0336	-0.0336	-0.0382	-0.0336	-0.0331	-0.0229	-0.0882	-0.0382	-0.0245	-0.0331	-0.0336	-0.0172	-0.0337	17.5	60% AT content
007_balanced_per_sequence	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18.3	per-seq exactly 50 of each base
008_varied_gc_per_seq	0.0293	0.0294	0.0277	0.0289	0.0294	0.0292	0.0171	0.0691	0.0289	0.0225	0.0292	0.0277	0.0064	0.0293	23.9	per-seq GC uniform [0.1,0.9]
009_markov_autocorr	0.0384	0.0387	0.0377	0.0439	0.0387	0.0388	0.0237	0.1050	0.0439	0.0282	0.0388	0.0377	0.0161	0.0384	30.0	Markov P(same)=0.4
010_replicates_1000x50	0.0223	0.0224	0.0217	0.0272	0.0224	0.0222	0.0099	0.0464	0.0272	0.0226	0.0222	0.0217	0.0021	0.0223	35.3	1000 unique x 50 replicates
011_motif_injection	0.0389	0.0391	0.0390	0.0462	0.0391	0.0386	0.0265	0.1208	0.0462	0.0298	0.0386	0.0390	0.0197	0.0389	18.7	random + injected TF motifs
012_palindromes	0.0308	0.0310	0.0287	0.0334	0.0310	0.0311	0.0144	0.0676	0.0334	0.0257	0.0311	0.0287	0.0114	0.0308	-	100bp + reverse-complement
013_random_seed43	0.0419	0.0420	0.0402	0.0474	0.0420	0.0416	0.0266	0.1232	0.0474	0.0303	0.0416	0.0402	0.0195	0.0419	-	random uniform seed=43 (noise floor probe)
014_sorted_by_gc	0.0408	0.0408	0.0395	0.0475	0.0408	0.0402	0.0246	0.1222	0.0475	0.0306	0.0402	0.0395	0.0191	0.0408	-	same as 001 sorted by GC (permutation-invariant check)
015_cpg_depleted_markov	0.0405	0.0406	0.0404	0.0461	0.0406	0.0405	0.0270	0.1105	0.0461	0.0288	0.0405	0.0404	0.0197	0.0405	-	Markov, CpG (12) avoided
016_narrow_gc_jitter	0.0369	0.0371	0.0358	0.0425	0.0371	0.0371	0.0209	0.1082	0.0425	0.0279	0.0371	0.0358	0.0166	0.0369	-	per-seq GC in [0.45,0.55]
017_anticorr_markov	0.0267	0.0265	0.0256	0.0275	0.0265	0.0254	0.0131	0.0655	0.0275	0.0230	0.0254	0.0256	0.0155	0.0267	-	Markov P(same)=0.1 (anti-correlated)
018_tight_composition_filter	-0.0022	-0.0029	-0.0026	0.0027	-0.0029	-0.0035	0.0021	-0.0002	0.0027	-0.0041	-0.0035	-0.0026	-0.0065	-0.0022	-	exact 50/50/50/50 base counts per seq
019_repeated_halves	0.0416	0.0417	0.0406	0.0465	0.0417	0.0411	0.0285	0.1176	0.0465	0.0302	0.0411	0.0406	0.0190	0.0416	-	first 100bp = last 100bp (period-100 tandem)
020_quadruple_repeat	0.0418	0.0421	0.0413	0.0483	0.0421	0.0415	0.0270	0.1336	0.0483	0.0331	0.0415	0.0413	0.0197	0.0418	-	50bp unit x4 tandem (seed=42)
021_25bp_x8_repeat	0.0367	0.0368	0.0352	0.0416	0.0368	0.0359	0.0180	0.1314	0.0416	0.0259	0.0359	0.0352	0.0156	0.0367	-	25bp unit x8 tandem
022_40bp_x5_repeat	-0.0129	-0.0130	-0.0124	-0.0165	-0.0130	-0.0141	-0.0117	0.0180	-0.0165	-0.0101	-0.0141	-0.0124	-0.0077	-0.0129	-	40bp x5 = 200, non-divisor unit
023_50bp_x4_with_mutations	0.0342	0.0345	0.0347	0.0400	0.0345	0.0339	0.0212	0.0649	0.0400	0.0228	0.0339	0.0347	0.0159	0.0342	-	50bp x4 with 10% random mutations
