experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_uniform_random	0.1183	0.1184	0.1164	0.1177	0.1184	0.1194	0.1147	0.0563	0.1177	0.1130	0.1194	0.1164	0.1212	0.1183	12.0	uniform random baseline (seed=42)
002_homopolymer_0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.5	all '0' homopolymer (all NaN: scoring is correlation-based)
003_zero_gradient	0.0897	0.0903	0.0879	0.0827	0.0903	0.0883	0.0906	0.0462	0.0827	0.0751	0.0883	0.0879	0.0874	0.0897	11.5	row-monotonic '0' gradient (50% avg 0 content)
004_random_sorted_by_zero_count	0.1183	0.1184	0.1164	0.1177	0.1184	0.1194	0.1147	0.0563	0.1177	0.1130	0.1194	0.1164	0.1212	0.1183	15.7	exp 001 strings sorted by 0-count (identical → permutation-invariant scoring!)
005_balanced_composition_shuffled	-0.0229	-0.0230	-0.0227	-0.0286	-0.0230	-0.0230	-0.0288	-0.0007	-0.0286	-0.0251	-0.0230	-0.0227	-0.0260	-0.0229	13.9	exactly 50 of each letter (composition variance = 0)
006_dirichlet_alpha1	0.1382	0.1384	0.1375	0.1338	0.1384	0.1389	0.1280	0.0682	0.1338	0.1228	0.1389	0.1375	0.1298	0.1382	12.0	per-row p ~ Dirichlet(1,1,1,1), sample iid
007_dirichlet_alpha03	0.1355	0.1358	0.1350	0.1312	0.1358	0.1364	0.1287	0.0604	0.1312	0.1203	0.1364	0.1350	0.1288	0.1355	37.6	per-row p ~ Dirichlet(0.3) - slightly worse than α=1
008_dirichlet_blocks	0.0136	0.0136	0.0141	0.0132	0.0136	0.0145	0.0160	0.0085	0.0132	0.0093	0.0145	0.0141	0.0140	0.0136	34.5	Dir(1) composition but letters in blocks (within-string ORDER matters!)
009_markov_per_row	0.1364	0.1368	0.1365	0.1340	0.1368	0.1370	0.1299	0.0618	0.1340	0.1233	0.1370	0.1365	0.1328	0.1364	21.0	per-row Markov chain Dir(1) transitions
010_motif_0123_insertion	0.1146	0.1146	0.1153	0.1102	0.1146	0.1165	0.1059	0.0529	0.1102	0.1020	0.1165	0.1153	0.1124	0.1146	12.6	0123 motif inserted K~U[0,20] times per row
011_dir_asym_bias_to_0	0.1350	0.1353	0.1340	0.1347	0.1353	0.1352	0.1285	0.0590	0.1347	0.1226	0.1352	0.1340	0.1309	0.1350	12.1	Dir(1.5,0.5,0.5,0.5) - letters symmetric
012_homopolymer_mix4	0.0310	0.0311	0.0332	0.0354	0.0311	0.0306	0.0382	0.0096	0.0354	0.0230	0.0306	0.0332	0.0291	0.0310	13.0	12500 each of 4 homopolymer types
013_dir_per_segment	0.1386	0.1387	0.1373	0.1337	0.1387	0.1389	0.1313	0.0624	0.1337	0.1221	0.1389	0.1373	0.1305	0.1386	13.9	per-row Dir(1) for each half independently
014_dominant_letter_pdom_04_95	0.1321	0.1323	0.1316	0.1322	0.1323	0.1329	0.1259	0.0632	0.1322	0.1220	0.1329	0.1316	0.1281	0.1321	12.3	per-row dominant letter, p_dom U[0.4,0.95]
015_stratified_composition	0.1336	0.1338	0.1321	0.1318	0.1338	0.1343	0.1288	0.0610	0.1318	0.1191	0.1343	0.1321	0.1275	0.1336	11.4	5 strata of p_dom level
016_bimodal_01_vs_23	0.1200	0.1200	0.1197	0.1167	0.1200	0.1194	0.1164	0.0558	0.1167	0.1036	0.1194	0.1197	0.1124	0.1200	13.4	bimodal p=(0.4,0.4,0.1,0.1) vs (0.1,0.1,0.4,0.4)
017_markov_self_transition	0.1169	0.1170	0.1180	0.1133	0.1170	0.1181	0.1070	0.0525	0.1133	0.1080	0.1181	0.1180	0.1110	0.1169	25.7	per-row Markov self-trans r ~ U[0.1,0.9]
