experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_natural_baseline	0.3876	0.3882	0.3829	0.3869	0.3882	0.3854	0.3936	0.2567	0.3869	0.3597	0.3854	0.3829	0.4066	0.3876	115	50K random hg38 chr1-22XY 200bp windows seed=0
002_four_way_mix	0.3937	0.3943	0.3881	0.3960	0.3943	0.3915	0.3952	0.2648	0.3960	0.3668	0.3915	0.3881	0.4090	0.3937	104	20K nat + 15K cCRE off + 10K DHS + 5K mouse (v04-best replication)
003_neural_boost	0.3932	0.3938	0.3877	0.3947	0.3938	0.3908	0.3949	0.2663	0.3947	0.3664	0.3908	0.3877	0.4077	0.3932	104	15K nat + 10K cCRE off + 10K DHS + 10K neural-DHS + 5K mouse
004_activity_quintiles	0.3919	0.3924	0.3868	0.3936	0.3924	0.3898	0.3932	0.2634	0.3936	0.3674	0.3898	0.3868	0.4068	0.3919	101	50K DHS stratified 10K per mean_signal quintile
005_activity_contrast	0.3934	0.3940	0.3876	0.3959	0.3940	0.3912	0.3927	0.2654	0.3959	0.3656	0.3912	0.3876	0.4074	0.3934	104	20K active cCRE + 20K silent gene desert + 10K natural
006_mouse_only	0.3880	0.3887	0.3828	0.3857	0.3887	0.3858	0.3944	0.2584	0.3857	0.3646	0.3858	0.3828	0.4074	0.3880	117	50K mouse mm39 natural random
007_dinuc_shuffle	0.3733	0.3738	0.3685	0.3651	0.3738	0.3715	0.3823	0.2618	0.3651	0.3550	0.3715	0.3685	0.3959	0.3733	108	50K natural human dinuc-shuffled (Altschul-Erickson)
008_random_uniform	0.3689	0.3693	0.3639	0.3592	0.3693	0.3663	0.3781	0.2642	0.3592	0.3521	0.3663	0.3639	0.3915	0.3689	116	50K random uniform 40% GC
009_max_diversity	0.3939	0.3944	0.3885	0.3967	0.3944	0.3917	0.3952	0.2656	0.3967	0.3680	0.3917	0.3885	0.4081	0.3939	116	10K human nat+10K mouse+10K cCRE+10K DHS+5K FANTOM5+5K LowDNase
010_noise_estimate	0.3961	0.3966	0.3903	0.3978	0.3966	0.3937	0.3955	0.2650	0.3978	0.3666	0.3937	0.3903	0.4106	0.3961	114	exp 002 design with seed=1; noise estimate
011_tf_diversity	0.3831	0.3836	0.3768	0.3878	0.3836	0.3812	0.3785	0.2649	0.3878	0.3590	0.3812	0.3768	0.3928	0.3831	100	50K windows centered on ReMap top-diversity tiles (146+ unique TFs)
012_rc_augmentation	0.3883	0.3890	0.3831	0.3868	0.3890	0.3859	0.3938	0.2575	0.3868	0.3592	0.3859	0.3831	0.4067	0.3883	119	25K nat + 25K RC of those
013_minimal_reg	0.3893	0.3900	0.3843	0.3896	0.3900	0.3871	0.3944	0.2590	0.3896	0.3616	0.3871	0.3843	0.4076	0.3893	120	45K nat + 2.5K cCRE + 2.5K DHS (10% reg dose)
014_gc_stratified	0.3939	0.3945	0.3881	0.3978	0.3945	0.3917	0.3956	0.2628	0.3978	0.3656	0.3917	0.3881	0.4090	0.3939	121	10K nat per GC bin (≤35,35-45,45-55,55-65,>65)
015_gc_plus_reg	0.3945	0.3951	0.3884	0.3971	0.3951	0.3924	0.3943	0.2668	0.3971	0.3657	0.3924	0.3884	0.4072	0.3945	114	25K GC-strat nat + 15K GC-strat cCRE + 10K GC-strat DHS
016_shifted_windows	0.3882	0.3889	0.3834	0.3866	0.3889	0.3860	0.3945	0.2546	0.3866	0.3605	0.3860	0.3834	0.4077	0.3882	108	10K anchors x 5 shifts (-50,-25,0,+25,+50)
017_high_gc_heavy	0.3928	0.3934	0.3873	0.3975	0.3934	0.3906	0.3923	0.2617	0.3975	0.3636	0.3906	0.3873	0.4058	0.3928	119	30K GC>55 + 10K GC 45-55 + 10K GC<45 natural
