experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_uniform_random	0.3943	0.3949	0.3870	0.3971	0.3949	0.3908	0.3937	0.2753	0.3971	0.3674	0.3908	0.3870	0.4054	0.3943	97.7	uniform random baseline seed=42
002_all_zeros	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115.9	all-zero constant string (50k copies)
003_bias_blocks	0.3296	0.3304	0.3238	0.3330	0.3304	0.3282	0.3428	0.2068	0.3330	0.3029	0.3282	0.3238	0.3578	0.3296	115.6	4 blocks 70% biased to each char
004_period4_template	0.1563	0.1571	0.1498	0.1570	0.1571	0.1541	0.1649	0.1345	0.1570	0.1393	0.1541	0.1498	0.1770	0.1563	145.3	4 periodic templates (period 2/4/8/blocks-50) + 30% noise
005_alphabet_01_only	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	109.9	50k random over {0,1} only - missing chars 2,3
006_one_fixed_random	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.8	50k copies of one fixed random seq - confirms population-level scoring
007_perfect_uniform_pop	0.3938	0.3942	0.3860	0.3950	0.3942	0.3905	0.3949	0.2763	0.3950	0.3667	0.3905	0.3860	0.4048	0.3938	103.2	exact 12500 each char at every position
008_template_following	0.1943	0.1946	0.1935	0.1854	0.1946	0.1945	0.1910	0.1031	0.1854	0.1802	0.1945	0.1935	0.2103	0.1943	96.9	50k seqs 90% matching fixed random template
009_per_seq_exact_balance	0.0436	0.0444	0.0395	0.0363	0.0444	0.0418	0.0359	0.0184	0.0363	0.0430	0.0418	0.0395	0.0379	0.0436	96.9	each seq is permutation of 50x each char - kills score
010_markov_anti_staying	0.1999	0.2001	0.1947	0.1938	0.2001	0.1968	0.1950	0.1384	0.1938	0.1829	0.1968	0.1947	0.2045	0.1999	105.9	Markov chain forbidding adjacent same char
011_random_seed_100	0.3951	0.3955	0.3868	0.3951	0.3955	0.3924	0.3959	0.2772	0.3951	0.3698	0.3924	0.3868	0.4073	0.3951	100.7	random uniform seed=100
012_random_seed_12345	0.3960	0.3964	0.3886	0.3981	0.3964	0.3930	0.3978	0.2750	0.3981	0.3653	0.3930	0.3886	0.4094	0.3960	173.5	random uniform seed=12345
013_random_seed_54321	0.3973	0.3977	0.3897	0.3984	0.3977	0.3942	0.3958	0.2782	0.3984	0.3688	0.3942	0.3897	0.4073	0.3973	232.3	random uniform seed=54321
014_random_seed_99999	0.3982	0.3987	0.3896	0.3988	0.3987	0.3947	0.3961	0.2747	0.3988	0.3710	0.3947	0.3896	0.4089	0.3982	212.7	random uniform seed=99999
015_random_seed_11111	0.3985	0.3989	0.3912	0.3993	0.3989	0.3952	0.3962	0.2774	0.3993	0.3719	0.3952	0.3912	0.4092	0.3985	220.2	random uniform seed=11111
016_random_seed_77777	0.3929	0.3933	0.3851	0.3965	0.3933	0.3895	0.3908	0.2758	0.3965	0.3677	0.3895	0.3851	0.4039	0.3929	183.6	random uniform seed=77777
017_random_seed_1	0.3968	0.3972	0.3895	0.3982	0.3972	0.3936	0.3976	0.2800	0.3982	0.3689	0.3936	0.3895	0.4083	0.3968	134.3	random uniform seed=1
018_random_seed_2	0.3963	0.3968	0.3886	0.3981	0.3968	0.3933	0.3961	0.2784	0.3981	0.3686	0.3933	0.3886	0.4057	0.3963	165.2	random uniform seed=2
019_random_seed_3	0.3977	0.3982	0.3897	0.3983	0.3982	0.3946	0.3957	0.2796	0.3983	0.3680	0.3946	0.3897	0.4067	0.3977	177.9	random uniform seed=3
020_random_seed_7	0.3990	0.3996	0.3917	0.4010	0.3996	0.3958	0.3953	0.2777	0.4010	0.3696	0.3958	0.3917	0.4080	0.3990	135.6	random uniform seed=7
021_random_seed_13	0.3969	0.3974	0.3899	0.4002	0.3974	0.3940	0.3970	0.2767	0.4002	0.3719	0.3940	0.3899	0.4061	0.3969	153.2	random uniform seed=13
022_random_seed_23	0.3956	0.3959	0.3887	0.3941	0.3959	0.3922	0.3936	0.2801	0.3941	0.3683	0.3922	0.3887	0.4078	0.3956	161.5	random uniform seed=23
023_random_seed_42424	0.3971	0.3975	0.3896	0.3990	0.3975	0.3941	0.3974	0.2787	0.3990	0.3689	0.3941	0.3896	0.4085	0.3971	158.9	random uniform seed=42424
024_random_seed_98765	0.3975	0.3981	0.3911	0.3982	0.3981	0.3949	0.3965	0.2741	0.3982	0.3693	0.3949	0.3911	0.4070	0.3975	120.5	random uniform seed=98765
025_random_seed_5	0.3973	0.3977	0.3901	0.4003	0.3977	0.3943	0.3968	0.2770	0.4003	0.3703	0.3943	0.3901	0.4108	0.3973	239.8	random uniform seed=5
