experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform	0.3981	0.3986	0.3914	0.3977	0.3986	0.3948	0.3973	0.2765	0.3977	0.3704	0.3948	0.3914	0.4073	0.3981	115.9	Random uniform i.i.d. bases (baseline)
002_chr22_tiles	0.3928	0.3935	0.3879	0.3956	0.3935	0.3907	0.3940	0.2622	0.3956	0.3657	0.3907	0.3879	0.4077	0.3928	114.0	hg38 chr22 random 200bp tiles (no N)
003_ccre_centered	0.3929	0.3934	0.3872	0.3959	0.3934	0.3907	0.3908	0.2667	0.3959	0.3658	0.3907	0.3872	0.4049	0.3929	132.0	ENCODE cCRE-centered 200bp windows (mixed dELS/pELS/PLS/CTCF)
004_bimodal_gc	0.3401	0.3404	0.3347	0.3393	0.3404	0.3389	0.3468	0.2407	0.3393	0.3199	0.3389	0.3347	0.3594	0.3401	130.0	Half AT-rich (20% GC) + half GC-rich (80% GC), shuffled
005_uniform_gc_spread	0.3647	0.3652	0.3591	0.3660	0.3652	0.3628	0.3697	0.2623	0.3660	0.3445	0.3628	0.3591	0.3833	0.3647	148.0	Per-seq GC U(0.1,0.9), lib-mean ~0.5, large per-seq variance
006_exact_50pct_gc	0.3968	0.3972	0.3889	0.3952	0.3972	0.3936	0.3961	0.2778	0.3952	0.3675	0.3936	0.3889	0.4082	0.3968	123.0	Each seq has exactly 100 G/C and 100 A/T (no GC variance)
007_high_complexity	0.3749	0.3752	0.3687	0.3735	0.3752	0.3720	0.3765	0.2694	0.3735	0.3529	0.3720	0.3687	0.3869	0.3749	145.0	Random uniform but no homopolymer run > 3
008_motif_injected	0.3850	0.3852	0.3800	0.3857	0.3852	0.3827	0.3903	0.2683	0.3857	0.3614	0.3827	0.3800	0.3993	0.3850	144.0	5 JASPAR consensus motifs (K562/HepG2/SKNSH TFs) per random scaffold
009_random_seed1	0.3973	0.3978	0.3902	0.3983	0.3978	0.3946	0.3967	0.2769	0.3983	0.3701	0.3946	0.3902	0.4077	0.3973	136.0	Random uniform i.i.d., seed=1 (noise floor check vs seed=42)
010_markov_p30_repeat	0.3892	0.3896	0.3823	0.3923	0.3896	0.3867	0.3908	0.2742	0.3923	0.3629	0.3867	0.3823	0.4027	0.3892	113.0	Markov chain P(repeat)=0.30, slightly longer runs than i.i.d. uniform
011_duplicate_half	0.3921	0.3927	0.3871	0.3912	0.3927	0.3892	0.3885	0.2684	0.3912	0.3627	0.3892	0.3871	0.4003	0.3921	121.0	25k unique random uniform sequences, each duplicated to fill 50k
012_exact_base_counts	0.0239	0.0240	0.0195	0.0391	0.0240	0.0215	0.0152	0.0256	0.0391	0.0417	0.0215	0.0195	-0.0003	0.0239	110.0	Each seq exactly 50A/50C/50G/50T (zero per-base variance — collapses score)
013_mix_random_chr22	0.3889	0.3895	0.3841	0.3909	0.3895	0.3867	0.3907	0.2688	0.3909	0.3623	0.3867	0.3841	0.4038	0.3889	119.5	50/50 random uniform + chr22 random 200bp tiles (mixed and shuffled)
014_gc_normal_sigma07	0.3989	0.3994	0.3903	0.3992	0.3994	0.3958	0.3978	0.2773	0.3992	0.3694	0.3958	0.3903	0.4096	0.3989	107.5	Per-seq GC N(0.5, 0.075) clipped [0.20, 0.80] (empirical std=0.082, ~2.3x binomial)
015_tight_gc_sigma02	0.3975	0.3980	0.3902	0.4002	0.3980	0.3947	0.3971	0.2769	0.4002	0.3711	0.3947	0.3902	0.4062	0.3975	102.6	Per-seq GC count N(100, 2.0) (per-seq GC std=0.010, 3.5x tighter than binomial)
016_tight_perbase_sigma1	0.1862	0.1866	0.1830	0.2009	0.1866	0.1843	0.1828	0.1064	0.2009	0.1793	0.1843	0.1830	0.1852	0.1862	101.0	Per-base count N(50, ~1.3) for each of ACGT, mean-centered to sum=200 (steep cliff)
017_perposition_bias	0.3975	0.3980	0.3886	0.3991	0.3980	0.3940	0.3986	0.2784	0.3991	0.3680	0.3940	0.3886	0.4079	0.3975	95.8	Per-position rotated base bias (A/C/G/T favored at i%4), library marginals uniform
018_gc_sigma010	0.3978	0.3983	0.3892	0.3977	0.3983	0.3950	0.3956	0.2761	0.3977	0.3689	0.3950	0.3892	0.4086	0.3978	100.3	Per-seq GC N(0.5, 0.10) clipped [0.15, 0.85] (upper edge of plateau)
019_cpg_enriched_markov	0.2934	0.2936	0.2901	0.2832	0.2936	0.2926	0.3162	0.2248	0.2832	0.2670	0.2926	0.2901	0.3267	0.2934	96.3	Doubly-stochastic Markov biasing C->G and G->C (CpG enrichment), uniform stationary
020_gc_sigma075_seed1	0.3943	0.3947	0.3865	0.3966	0.3947	0.3915	0.3944	0.2767	0.3966	0.3667	0.3915	0.3865	0.4068	0.3943	99.6	014 recipe (per-seq GC N(0.5, 0.075)) replicated with seed=1 (14 was lucky)
021_gc_sigma075_seed2	0.3989	0.3993	0.3915	0.3991	0.3993	0.3962	0.3963	0.2773	0.3991	0.3715	0.3962	0.3915	0.4074	0.3989	100.1	014 recipe replicated with seed=2 (matched 014 exactly at 0.3989)
022_gc_sigma075_seed7	0.3966	0.3971	0.3891	0.3974	0.3971	0.3933	0.3975	0.2783	0.3974	0.3693	0.3933	0.3891	0.4097	0.3966	98.3	014 recipe replicated with seed=7
023_gc_sigma075_seed99	0.3970	0.3974	0.3886	0.3979	0.3974	0.3942	0.3962	0.2780	0.3979	0.3690	0.3942	0.3886	0.4080	0.3970	100.0	014 recipe replicated with seed=99
024_gc_sigma010_seed2	0.3964	0.3968	0.3891	0.3970	0.3968	0.3938	0.3952	0.2764	0.3970	0.3704	0.3938	0.3891	0.4050	0.3964	105.8	018 recipe (sigma=0.10) replicated with seed=2
025_gc_sigma075_seed314	0.3958	0.3963	0.3890	0.3972	0.3963	0.3931	0.3964	0.2781	0.3972	0.3709	0.3931	0.3890	0.4073	0.3958	108.5	014 recipe replicated with seed=314
026_gc_sigma075_seed12345	0.3957	0.3962	0.3889	0.3961	0.3962	0.3927	0.3952	0.2775	0.3961	0.3689	0.3927	0.3889	0.4067	0.3957	105.4	014 recipe replicated with seed=12345
027_gc_sigma075_seed666	0.3965	0.3970	0.3888	0.3960	0.3970	0.3939	0.3970	0.2747	0.3960	0.3675	0.3939	0.3888	0.4046	0.3965	106.2	014 recipe replicated with seed=666
028_gc_sigma075_seed8	0.3965	0.3971	0.3888	0.3972	0.3971	0.3936	0.3978	0.2753	0.3972	0.3697	0.3936	0.3888	0.4086	0.3965	107.7	014 recipe replicated with seed=8
029_gc_sigma075_seed2026	0.3945	0.3950	0.3874	0.3968	0.3950	0.3916	0.3937	0.2769	0.3968	0.3678	0.3916	0.3874	0.4091	0.3945	107.9	014 recipe replicated with seed=2026
030_gc_sigma075_seed42_replicate	0.3989	0.3994	0.3903	0.3992	0.3994	0.3958	0.3978	0.2773	0.3992	0.3694	0.3958	0.3903	0.4096	0.3989	108.5	014 exact replicate (seed=42) - identical lib, confirms eval determinism
