experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform	0.0012	0.0010	0.0006	0.0061	0.0010	0.0008	-0.0022	0.0005	0.0061	-0.0046	0.0008	0.0006	-0.0033	0.0012	26.6	uniform random DNA, floor calibration
002_random_genomic	0.0039	0.0033	0.0047	0.0027	0.0033	0.0025	-0.0093	-0.0003	0.0027	-0.0032	0.0025	0.0047	0.0024	0.0039	29.0	random hg38 200bp windows
003_ccre_proportional	-0.0004	-0.0004	-0.0009	0.0029	-0.0004	-0.0009	-0.0016	-0.0040	0.0029	0.0027	-0.0009	-0.0009	0.0003	-0.0004	17.0	cCRE-centered 200bp windows
004_motif_scaffold	0.0052	0.0049	0.0022	0.0018	0.0049	0.0049	0.0005	-0.0106	0.0018	-0.0061	0.0049	0.0022	-0.0049	0.0052	14.0	random backbone with 0-10 TF motif inserts
005_tss_promoters	-0.0004	-0.0003	0.0000	0.0027	-0.0003	0.0007	0.0035	0.0022	0.0027	-0.0005	0.0007	0.0000	-0.0001	-0.0004	27.0	200bp centered on RefSeq TSS, strand-aware
006_hybrid	0.0033	0.0033	0.0037	0.0009	0.0033	0.0036	0.0019	0.0003	0.0009	-0.0047	0.0036	0.0037	-0.0006	0.0033	19.0	1/3 promoter + 1/3 hema-motif + 1/3 neural-motif
007_dense_motifs	0.0032	0.0034	0.0037	0.0036	0.0034	0.0033	0.0061	-0.0004	0.0036	0.0010	0.0033	0.0037	-0.0010	0.0032	13.0	dense (15-25) cell-type-mixed motif scaffold
008_dense_motifs_plus_promoters	0.0013	0.0013	0.0006	0.0027	0.0013	0.0020	-0.0004	0.0018	0.0027	-0.0041	0.0020	0.0006	-0.0010	0.0013	12.0	50/50 dense motifs + TSS promoters
009_motif_heavy_70_30	0.0035	0.0034	0.0019	-0.0002	0.0034	0.0038	0.0088	0.0040	-0.0002	0.0003	0.0038	0.0019	-0.0010	0.0035	22.0	35k dense motifs + 15k TSS promoters
010_motif_heavy_80_20	0.0022	0.0024	-0.0037	0.0019	0.0024	0.0026	-0.0022	0.0062	0.0019	-0.0060	0.0026	-0.0037	-0.0007	0.0022	18.0	40k dense motifs + 10k TSS promoters
011_three_way_mix	0.0019	0.0021	-0.0007	0.0041	0.0021	0.0019	0.0050	0.0056	0.0041	-0.0009	0.0019	-0.0007	-0.0068	0.0019	15.0	30k motifs + 10k promoters + 10k PLS cCREs
012_motif_plus_pels	0.0033	0.0030	0.0027	-0.0020	0.0030	0.0036	0.0024	0.0117	-0.0020	0.0057	0.0036	0.0027	-0.0001	0.0033	14.0	35k dense motifs + 15k pELS cCREs
013_motif_plus_dels	0.0005	0.0000	0.0006	0.0034	0.0000	0.0005	0.0021	-0.0025	0.0034	0.0085	0.0005	0.0006	0.0025	0.0005	17.0	35k dense motifs + 15k dELS cCREs
014_mega_mix	0.0013	0.0010	-0.0047	-0.0017	0.0010	0.0003	0.0014	0.0015	-0.0017	0.0022	0.0003	-0.0047	0.0022	0.0013	15.0	20k motifs + 10k pELS + 10k dELS + 10k PLS
015_motif30_pels10_dels10	-0.0001	-0.0002	-0.0047	-0.0058	-0.0002	-0.0006	0.0057	0.0064	-0.0058	-0.0013	-0.0006	-0.0047	-0.0033	-0.0001	21.0	30k motifs + 10k pELS + 10k dELS
016_motif_syntax_pels	0.0012	0.0013	-0.0012	0.0020	0.0013	0.0015	-0.0088	0.0037	0.0020	-0.0077	0.0015	-0.0012	0.0015	0.0012	17.0	35k structured-syntax motifs (homotypic+paired+mixed) + 15k pELS
017_broad_motif_pool	-0.0014	-0.0017	-0.0009	0.0047	-0.0017	-0.0002	0.0005	-0.0015	0.0047	-0.0007	-0.0002	-0.0009	0.0010	-0.0014	34.0	35k dense motifs (87-TF pool) + 15k pELS
