experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_uniform_random	0.0002	-0.0000	0.0024	-0.0009	-0.0000	0.0000	-0.0007	-0.0008	-0.0009	0.0080	0.0000	0.0024	-0.0021	0.0002	35.1	uniform random baseline
002_constant_chars	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	46.5	12500 each of all-0/1/2/3
003_period4_0123	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	59.3	50k copies of "0123"*50
004_density_gradient_0	0.0001	0.0003	-0.0001	-0.0013	0.0003	-0.0011	0.0055	0.0043	-0.0013	0.0030	-0.0011	-0.0001	-0.0028	0.0001	30.5	gradient on per-string P(0) from 0 to 1
005_markov_gradient	-0.0081	-0.0079	-0.0060	-0.0025	-0.0079	-0.0076	0.0021	0.0068	-0.0025	0.0037	-0.0076	-0.0060	0.0048	-0.0081	30.8	gradient on per-string Markov self-transition
006_class_mixture	-0.0026	-0.0029	-0.0037	-0.0015	-0.0029	-0.0003	0.0038	0.0011	-0.0015	0.0019	-0.0003	-0.0037	-0.0055	-0.0026	39.0	5-class mix: random/markov/period-4/period-2/biased
007_period2_noise_gradient	-0.0017	-0.0016	0.0004	0.0001	-0.0016	-0.0012	0.0056	-0.0035	0.0001	0.0031	-0.0012	0.0004	0.0025	-0.0017	29.0	period-2 base, noise gradient 0.05-0.50
008_palindrome_gradient	0.0020	0.0024	-0.0001	-0.0028	0.0024	0.0015	-0.0001	-0.0057	-0.0028	-0.0020	0.0015	-0.0001	0.0023	0.0020	15.3	gradient on palindrome fidelity 0-1
009_dna_markov	0.0027	0.0028	0.0009	0.0007	0.0028	0.0031	-0.0057	-0.0005	0.0007	0.0054	0.0031	0.0009	-0.0048	0.0027	23.8	DNA-like Markov order-1 (CpG depleted)
010_dna_markov_zero_gradient	-0.0009	-0.0008	-0.0027	0.0009	-0.0008	-0.0012	-0.0033	0.0036	0.0009	-0.0051	-0.0012	-0.0027	-0.0051	-0.0009	17.2	DNA Markov + 0-density overlay
011_dna_markov_shuffled	0.0027	0.0028	0.0009	0.0007	0.0028	0.0031	-0.0057	-0.0005	0.0007	0.0054	0.0031	0.0009	-0.0048	0.0027	54.7	exp 9 sequences in shuffled order
