experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	-0.0030	-0.0031	-0.0014	0.0005	-0.0031	-0.0027	-0.0002	-0.0014	0.0005	0.0076	-0.0027	-0.0014	-0.0026	-0.0030	35.1	uniform random ACGT, seed=42
002_gc_sweep	0.0034	0.0035	0.0016	0.0031	0.0035	0.0025	0.0041	0.0012	0.0031	0.0050	0.0025	0.0016	0.0038	0.0034	17	5 banks of 10k at GC=20/40/50/70/85%
003_motif_vs_null	0.0014	0.0010	0.0008	-0.0031	0.0010	0.0001	-0.0019	0.0005	-0.0031	-0.0004	0.0001	0.0008	-0.0004	0.0014	17	25k motif-rich GC55 + 25k AT-null GC20
004_three_cell_banks	-0.0004	-0.0003	-0.0035	0.0006	-0.0003	0.0011	-0.0015	0.0040	0.0006	0.0051	0.0011	-0.0035	0.0005	-0.0004	14	4 banks: K562/HepG2/SKNSH/null, 12500 each
005_k562_focused	0.0043	0.0043	0.0037	0.0007	0.0043	0.0047	-0.0004	0.0036	0.0007	0.0019	0.0047	0.0037	0.0067	0.0043	13	K562 motifs 50/50 matched GC=50
006_hepg2_focused	-0.0030	-0.0035	-0.0037	0.0008	-0.0035	-0.0041	0.0000	0.0004	0.0008	0.0035	-0.0041	-0.0037	-0.0016	-0.0030	24	HepG2 motifs 50/50 matched GC=40
007_sknsh_focused	0.0031	0.0035	0.0050	0.0030	0.0035	0.0021	0.0065	0.0079	0.0030	-0.0040	0.0021	0.0050	0.0060	0.0031	14	SKNSH motifs 50/50 matched GC=50
008_universal_saturated	0.0037	0.0038	0.0020	-0.0029	0.0038	0.0037	-0.0023	-0.0065	-0.0029	-0.0045	0.0037	0.0020	0.0065	0.0037	13	saturated universal motifs 14/seq + null GC50
009_ccre_vs_shuffle	0.0022	0.0022	-0.0023	-0.0022	0.0022	0.0029	0.0051	0.0050	-0.0022	-0.0041	0.0029	-0.0023	0.0000	0.0022	16	25k ENCODE cCRE PLS/pELS/dELS + 25k dinuc-shuffled
010_celltype_dhs	-0.0039	-0.0040	-0.0012	0.0001	-0.0040	-0.0034	-0.0050	-0.0025	0.0001	-0.0013	-0.0034	-0.0012	0.0060	-0.0039	24	16.7k top K562+HepG2+SKNSH DHS peaks each
