experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	0.2307	0.2309	0.2330	0.2254	0.2309	0.2311	0.2201	0.0893	0.2254	0.2323	0.2311	0.2330	0.2208	0.2307	41.1	Uniform random 200bp
002_encode_ccre_uniform	0.3154	0.3156	0.3167	0.2696	0.3156	0.3144	0.3376	0.0761	0.2696	0.3020	0.3144	0.3167	0.3280	0.3154	50.5	ENCODE V3 cCREs uniform sample
003_k562_dnase	0.3166	0.3168	0.3198	0.2683	0.3168	0.3152	0.3391	0.0798	0.2683	0.3065	0.3152	0.3198	0.3254	0.3166	54.6	K562 DNase peaks centered
004_ccre_plus_shuffled	0.3116	0.3118	0.3125	0.2675	0.3118	0.3107	0.3333	0.0817	0.2675	0.3007	0.3107	0.3125	0.3241	0.3116	58.4	cCRE 25k + dinuc-shuffled 25k
005_ccre_dense_tile	0.3177	0.3179	0.3193	0.2715	0.3179	0.3169	0.3384	0.0764	0.2715	0.3036	0.3169	0.3193	0.3267	0.3177	59.3	cCRE 10k regions x 5 tiles
006_synth_jaspar_motifs	0.2212	0.2212	0.2175	0.2124	0.2212	0.2215	0.1973	0.0907	0.2124	0.2136	0.2215	0.2175	0.2019	0.2212	69.9	Synthetic 200bp random + 2-5 JASPAR motifs
007_promoter_dense	0.3146	0.3149	0.3172	0.2708	0.3149	0.3134	0.3397	0.0757	0.2708	0.3024	0.3134	0.3172	0.3276	0.3146	76.7	PLS+DNase-H3K4me3 cCREs 10k regions x 5 tiles
008_ccre_plus_random	0.3091	0.3093	0.3110	0.2645	0.3093	0.3086	0.3201	0.0840	0.2645	0.2930	0.3086	0.3104	0.3091	0.3091	73.9	25k cCRE + 25k random uniform
009_top_signal_dhs	0.2529	0.2531	0.2537	0.2356	0.2531	0.2520	0.2642	0.0779	0.2356	0.2515	0.2520	0.2537	0.2458	0.2529	75.5	Top max_density DHS 10k regions x 5 tiles across 3 cell types
010_diff_activity	0.3180	0.3181	0.3204	0.2690	0.3181	0.3170	0.3355	0.0770	0.2690	0.3046	0.3170	0.3204	0.3256	0.3180	25.9	Differential DHS: K562-only+HepG2-only+SKNSH-only+shared3, 2500x5
011_starr_seq	0.2874	0.2871	0.2890	0.2479	0.2871	0.2867	0.2925	0.0790	0.2479	0.2678	0.2867	0.2890	0.2885	0.2874	33.3	STARR-seq top 5K K562 + 5K HepG2 x 5 tiles
012_rc_augmented	0.3195	0.3198	0.3222	0.2720	0.3198	0.3187	0.3375	0.0745	0.2720	0.3047	0.3187	0.3222	0.3278	0.3195	31.2	RC-augmented 5k cCREs x 5 tiles + RC (25k fwd + 25k RC)
013_sat_mut	0.3036	0.3040	0.3050	0.2598	0.3040	0.3031	0.3250	0.0686	0.2598	0.2853	0.3031	0.3050	0.3110	0.3036	34.2	Sat-mut: 2500 cCREs x (1 WT + 19 mut, 5 subs each)
014_dense_at_saturation	0.3181	0.3183	0.3198	0.2700	0.3183	0.3171	0.3372	0.0779	0.2700	0.3033	0.3171	0.3198	0.3281	0.3181	39.2	5K cCREs x 10 tiles, intra-region density at saturation
015_sat_plus_motif_amplified	0.3167	0.3169	0.3186	0.2692	0.3169	0.3157	0.3355	0.0784	0.2692	0.3015	0.3157	0.3186	0.3252	0.3167	17.4	5K cCREs natural + 5K cCREs motif-amplified (3 JASPAR motifs each)
016_conserved_ccres	0.3057	0.3059	0.3053	0.2561	0.3059	0.3051	0.3202	0.0775	0.2561	0.2906	0.3051	0.3053	0.3111	0.3057	21.3	Top 5K phastCons-conserved cCREs x 10 tiles
017_class_balanced	0.3171	0.3174	0.3198	0.2711	0.3174	0.3163	0.3375	0.0744	0.2711	0.3047	0.3163	0.3198	0.3276	0.3171	29.1	cCRE class-balanced: 1K each PLS/pELS/dELS/CTCF-only/DNase-H3K4me3 x 10 tiles
018_multi_source	0.3121	0.3123	0.3145	0.2675	0.3123	0.3110	0.3334	0.0735	0.2675	0.3004	0.3110	0.3145	0.3242	0.3121	13.6	Multi-source: 1K each (cCRE+K562DHS+HepG2DHS+SKNSHDHS+consCCRE) x 10 tiles
019_hepg2_optimized	0.2808	0.2808	0.2815	0.2447	0.2808	0.2805	0.2925	0.0782	0.2447	0.2664	0.2805	0.2815	0.2866	0.2808	31.1	HepG2-specific top-signal DHS 5K x 10 tiles
020_wider_tiles	0.3216	0.3218	0.3237	0.2730	0.3218	0.3206	0.3377	0.0741	0.2730	0.3056	0.3206	0.3237	0.3306	0.3216	27.3	Wider tiles: 5K cCREs x 10, offsets in +/-400bp
021_wider_plus_rc	0.3222	0.3224	0.3240	0.2736	0.3224	0.3214	0.3399	0.0751	0.2736	0.3069	0.3214	0.3240	0.3303	0.3222	20.1	Wider tiles (+/-400bp) 5K cCREs x 5 + RC = 50K
022_even_wider	0.3221	0.3222	0.3248	0.2744	0.3222	0.3214	0.3375	0.0725	0.2744	0.3060	0.3214	0.3248	0.3328	0.3221	21.4	Even wider tiles (+/-800bp) 5K cCREs x 10
023_more_regions_wider	0.3215	0.3218	0.3237	0.2737	0.3218	0.3210	0.3395	0.0732	0.2737	0.3077	0.3210	0.3237	0.3305	0.3215	15.1	Wider tiles (+/-400bp) 10K cCREs x 5 = 50K
