experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	k562_r	hepg2_r	sknsh_r	time_s	description
001_random_uniform	0.5177	0.5177	0.5218	0.5249	0.5177	0.5190	0.5199	0.4742	0.5249	0.5148	0.5190	0.5218	0.5250	0.5177	0.5169	0.9945	0.5559	-0.0046	35.3	random uniform DNA, 50k x 200bp, seed=0
002_random_genomic	0.4861	0.4866	0.4901	0.4725	0.4866	0.4876	0.4969	0.4162	0.4725	0.4751	0.4876	0.4901	0.4976	0.4861	0.4822	0.8914	0.5495	0.0017	30.0	random 200bp windows from hg38 autosomes
003_ccre_centered	0.4963	0.4966	0.4997	0.4945	0.4966	0.4978	0.5015	0.4325	0.4945	0.4866	0.4978	0.4997	0.5058	0.4963	0.4933	0.9244	0.5538	-0.0014	56.0	ENCODE v4 cCREs stratified across 8 classes, 200bp centered
004_broad_gc_random	0.4466	0.4467	0.4516	0.4432	0.4467	0.4494	0.4547	0.4217	0.4432	0.4466	0.4494	0.4516	0.4576	0.4466	0.4468	0.8081	0.5283	-0.0036	20.0	random 200bp with per-seq GC ~ Uniform(0.10, 0.90)
005_uniform_plus_motifs	0.5180	0.5182	0.5222	0.5241	0.5182	0.5204	0.5232	0.4701	0.5241	0.5155	0.5204	0.5222	0.5224	0.5180	0.5169	0.9906	0.5611	-0.0010	26.0	random uniform + Poisson(2) JASPAR stochastic motifs
006_uniform_heavy_consensus_motifs	0.5055	0.5057	0.5081	0.5106	0.5057	0.5079	0.5060	0.4556	0.5106	0.5018	0.5079	0.5081	0.5114	0.5055	0.5036	0.9554	0.5543	-0.0035	53.0	random uniform + Poisson(6) consensus JASPAR motifs (heavy)
007_mix_uniform_ccre	0.4927	0.4931	0.4945	0.4872	0.4931	0.4947	0.4971	0.4475	0.4872	0.4862	0.4947	0.4945	0.4984	0.4927	0.4895	0.9128	0.5458	0.0023	29.0	50/50 mixture random uniform + stratified cCREs
008_markov_chain	0.4903	0.4906	0.4925	0.4856	0.4906	0.4917	0.5020	0.4485	0.4856	0.4825	0.4917	0.4925	0.4952	0.4903	0.4878	0.9594	0.5054	-0.0001	45.0	per-sequence Dirichlet Markov chain (4x4 transitions)
009_sharpr_mpra	0.4987	0.4989	0.4996	0.4959	0.4989	0.5005	0.5003	0.4511	0.4959	0.4911	0.5005	0.4996	0.5015	0.4987	0.4951	0.9288	0.5468	0.0040	50.0	Sharpr-MPRA 145bp fragments padded with random flanks to 200bp
010_random_uniform_s42	0.5183	0.5184	0.5198	0.5222	0.5184	0.5200	0.5213	0.4775	0.5222	0.5146	0.5200	0.5198	0.5235	0.5183	0.5181	0.9946	0.5556	-0.0033	33.0	random uniform seed=42 (variance check)
011_sharpr_gc50	0.4978	0.4977	0.5005	0.5007	0.4977	0.4987	0.5040	0.4461	0.5007	0.4923	0.4987	0.5005	0.5036	0.4978	0.4954	0.9398	0.5591	-0.0055	53.0	Sharpr-MPRA filtered to fragment GC in [0.45, 0.55]
012_uniform_one_center_motif	0.5191	0.5193	0.5238	0.5239	0.5193	0.5207	0.5215	0.4733	0.5239	0.5111	0.5207	0.5238	0.5213	0.5191	0.5172	0.9934	0.5685	-0.0047	53.0	random uniform + 1 JASPAR consensus motif at fixed center
013_narrow_gc	0.5206	0.5204	0.5229	0.5225	0.5204	0.5218	0.5200	0.4703	0.5225	0.5141	0.5218	0.5229	0.5181	0.5206	0.5187	0.9946	0.5676	-0.0005	32.0	random uniform with per-seq target GC ~ Normal(0.5, 0.02)
014_combo_motif_narrow_gc	0.5196	0.5195	0.5217	0.5208	0.5195	0.5213	0.5156	0.4711	0.5208	0.5108	0.5213	0.5217	0.5191	0.5196	0.5173	0.9932	0.5695	-0.0038	35.0	random uniform narrow-GC + 1 JASPAR consensus motif at fixed center
015_exact_gc50	0.5191	0.5190	0.5199	0.5235	0.5190	0.5200	0.5245	0.4688	0.5235	0.5105	0.5200	0.5199	0.5208	0.5191	0.5177	0.9939	0.5650	-0.0016	46.0	random with exactly 100 GC and 100 AT per seq (deterministic GC=0.5)
