experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	0.5174	0.5175	0.5189	0.5206	0.5175	0.5185	0.5199	0.4709	0.5206	0.5127	0.5185	0.5189	0.5278	0.5174	48.4	uniform random {0,1,2,3} seed=42
002_base_bias	0.0916	0.0912	0.0887	0.0921	0.0912	0.0918	0.0763	0.1526	0.0921	0.1078	0.0918	0.0887	0.0819	0.0916	13.9	4 groups each ~80% one base
003_markov_runs	0.4083	0.4086	0.4127	0.3964	0.4086	0.4093	0.4212	0.3465	0.3964	0.4006	0.4093	0.4127	0.4166	0.4083	24.1	Markov STAY=0.55 (runs)
004_dinuc_repeats	0.5060	0.5060	0.5049	0.5080	0.5060	0.5058	0.5064	0.4660	0.5080	0.4851	0.5058	0.5049	0.5059	0.5060	15.3	rand + (XY)5 insertion 5 groups
005_palindromes	0.3452	0.3450	0.3507	0.3521	0.3450	0.3481	0.3515	0.3343	0.3521	0.3479	0.3481	0.3507	0.3471	0.3452	29.5	rev-comp palindromes 0<->3 1<->2
006_random_seed43	0.5207	0.5208	0.5231	0.5269	0.5208	0.5223	0.5173	0.4694	0.5269	0.5109	0.5223	0.5231	0.5289	0.5207	26.3	random uniform seed=43 (noise check)
007_exact_counts	0.2942	0.2946	0.2945	0.3036	0.2946	0.2930	0.2912	0.3010	0.3036	0.2875	0.2930	0.2945	0.2858	0.2942	27.2	per-seq exact 50/50/50/50 perm
008_markov_avoid_self	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-	no self-transitions (a=NaN)
009_motif_enrich	0.5184	0.5186	0.5218	0.5206	0.5186	0.5197	0.5170	0.4676	0.5206	0.5115	0.5197	0.5218	0.5249	0.5184	-	rand + 01230123 x2 per seq
010_motif_heavy	0.5153	0.5155	0.5183	0.5191	0.5155	0.5169	0.5173	0.4646	0.5191	0.5085	0.5169	0.5183	0.5155	0.5153	-	rand + 5 distinct 8-mers per seq
011_markov_anti_self	0.5033	0.5034	0.5060	0.5032	0.5034	0.5048	0.5084	0.4626	0.5032	0.4965	0.5048	0.5060	0.5081	0.5033	-	Markov STAY=0.20 (anti-self)
012_random_seed100	0.5221	0.5224	0.5243	0.5252	0.5224	0.5229	0.5230	0.4723	0.5252	0.5151	0.5229	0.5243	0.5270	0.5221	-	random seed=100
013_random_seed7	0.5241	0.5242	0.5257	0.5239	0.5242	0.5255	0.5161	0.4674	0.5239	0.5148	0.5255	0.5257	0.5240	0.5241	-	random seed=7 (BEST eval_01)
014_random_seed8	0.5211	0.5211	0.5255	0.5205	0.5211	0.5223	0.5231	0.4679	0.5205	0.5144	0.5223	0.5255	0.5242	0.5211	-	random seed=8
015_dinuc_depletion	0.5076	0.5078	0.5100	0.5089	0.5078	0.5098	0.5100	0.4483	0.5089	0.4999	0.5098	0.5100	0.5133	0.5076	-	Markov doubly-stoch '12' depleted
016_random_seed1	0.5202	0.5202	0.5235	0.5203	0.5202	0.5218	0.5199	0.4738	0.5203	0.5145	0.5218	0.5235	0.5248	0.5202	-	random seed=1
017_random_seed2024	0.5172	0.5171	0.5233	0.5226	0.5171	0.5197	0.5212	0.4701	0.5226	0.5116	0.5197	0.5233	0.5253	0.5172	-	random seed=2024
018_random_seed12345	0.5206	0.5207	0.5231	0.5231	0.5207	0.5216	0.5222	0.4693	0.5231	0.5136	0.5216	0.5231	0.5236	0.5206	-	random seed=12345
019_random_seed99	0.5193	0.5194	0.5231	0.5234	0.5194	0.5206	0.5230	0.4713	0.5234	0.5116	0.5206	0.5231	0.5236	0.5193	-	random seed=99
020_random_seed31415	0.5168	0.5169	0.5189	0.5246	0.5169	0.5182	0.5200	0.4725	0.5246	0.5131	0.5182	0.5189	0.5265	0.5168	-	random seed=31415
021_random_seed1337	0.5217	0.5219	0.5257	0.5213	0.5219	0.5239	0.5160	0.4761	0.5213	0.5114	0.5239	0.5257	0.5248	0.5217	-	random seed=1337
022_random_seed6	0.5215	0.5217	0.5241	0.5222	0.5217	0.5230	0.5217	0.4733	0.5222	0.5115	0.5230	0.5241	0.5212	0.5215	-	random seed=6
023_random_seed9	0.5212	0.5216	0.5234	0.5228	0.5216	0.5228	0.5246	0.4715	0.5228	0.5140	0.5228	0.5234	0.5235	0.5212	-	random seed=9
024_random_seed11	0.5223	0.5224	0.5251	0.5235	0.5224	0.5232	0.5187	0.4702	0.5235	0.5147	0.5232	0.5251	0.5243	0.5223	-	random seed=11
025_random_seed22	0.5205	0.5208	0.5242	0.5234	0.5208	0.5224	0.5217	0.4703	0.5234	0.5135	0.5224	0.5242	0.5249	0.5205	-	random seed=22
026_random_seed77	0.5171	0.5172	0.5192	0.5252	0.5172	0.5185	0.5192	0.4698	0.5252	0.5158	0.5185	0.5192	0.5263	0.5171	-	random seed=77
027_position_balanced	0.5207	0.5207	0.5243	0.5245	0.5207	0.5222	0.5226	0.4737	0.5245	0.5147	0.5222	0.5243	0.5192	0.5207	-	position-balanced (seed=7)
028_random_seed5	0.5193	0.5196	0.5224	0.5231	0.5196	0.5217	0.5206	0.4704	0.5231	0.5127	0.5217	0.5224	0.5207	0.5193	-	random seed=5
029_random_seed70	0.5182	0.5183	0.5215	0.5225	0.5183	0.5199	0.5201	0.4717	0.5225	0.5120	0.5199	0.5215	0.5216	0.5182	-	random seed=70
030_random_seed13	0.5223	0.5225	0.5240	0.5256	0.5225	0.5237	0.5273	0.4663	0.5256	0.5134	0.5237	0.5240	0.5266	0.5223	-	random seed=13
