experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform	0.5187	0.5189	0.5214	0.5188	0.5189	0.5205	0.5239	0.4706	0.5188	0.5142	0.5205	0.5214	0.5254	0.5187	34.8	uniform random 200bp baseline
002_gc_rich	0.3551	0.3547	0.3581	0.3834	0.3547	0.3565	0.3630	0.4066	0.3834	0.3781	0.3565	0.3581	0.3724	0.3551	40.0	65% GC iid
003_motif_inserts	0.5114	0.5115	0.5157	0.5130	0.5115	0.5129	0.5184	0.4648	0.5130	0.5074	0.5129	0.5157	0.5190	0.5114	48.0	2-3 TF motifs inserted in random bg
004_dense_motifs	0.3805	0.3807	0.3864	0.3784	0.3807	0.3826	0.3846	0.3005	0.3784	0.3693	0.3826	0.3864	0.3940	0.3805	44.0	dense motif library ~10 motifs/seq
005_humanish_41gc	0.4742	0.4743	0.4814	0.4483	0.4743	0.4767	0.4940	0.4467	0.4483	0.4732	0.4767	0.4814	0.4945	0.4742	44.0	41% GC iid (human-like)
006_low_diversity	0.1802	0.1799	0.1814	0.1598	0.1799	0.1806	0.1777	0.2013	0.1598	0.1803	0.1806	0.1814	0.1876	0.1802	48.0	all from one scaffold + 5% mutation
007_cpg_depleted	0.5051	0.5053	0.5084	0.5014	0.5053	0.5073	0.5120	0.4409	0.5014	0.5031	0.5073	0.5084	0.5126	0.5051	52.0	Markov-chain CpG depleted ~46% GC
008_chr21_windows	0.4880	0.4884	0.4907	0.4774	0.4884	0.4900	0.4934	0.4169	0.4774	0.4799	0.4900	0.4907	0.4982	0.4880	59.0	random 200bp windows from hg38 chr21
009_balanced_columns	0.5195	0.5196	0.5214	0.5223	0.5196	0.5207	0.5216	0.4668	0.5223	0.5144	0.5207	0.5214	0.5237	0.5195	45.0	per-column balance 50% GC
010_balanced_rows	0.2768	0.2764	0.2765	0.2777	0.2764	0.2766	0.2702	0.3019	0.2777	0.2865	0.2766	0.2765	0.2742	0.2768	56.0	per-row balance: each seq 50/50/50/50
011_varied_gc	0.4684	0.4687	0.4715	0.4623	0.4687	0.4700	0.4669	0.4366	0.4623	0.4655	0.4700	0.4715	0.4683	0.4684	65.0	per-seq GC uniform in [0.2,0.8]
012_multi_seed	0.5213	0.5214	0.5240	0.5263	0.5214	0.5227	0.5189	0.4712	0.5263	0.5097	0.5227	0.5240	0.5191	0.5213	114.8	per-col balanced × 2 seeds
013_eight_seeds	0.5193	0.5195	0.5233	0.5225	0.5195	0.5213	0.5227	0.4712	0.5225	0.5114	0.5213	0.5233	0.5236	0.5193	263.0	per-col balanced × 8 seeds
014_lucky_s141	0.5227	0.5225	0.5243	0.5227	0.5225	0.5238	0.5248	0.4692	0.5227	0.5133	0.5238	0.5243	0.5202	0.5227	112.0	per-col balanced 1 seed=141 (lucky shot)
015_lucky_s242	0.5217	0.5219	0.5249	0.5247	0.5219	0.5223	0.5196	0.4714	0.5247	0.5121	0.5223	0.5249	0.5216	0.5217	113.0	per-col balanced 1 seed=242
016_lucky_s333	0.5165	0.5166	0.5181	0.5209	0.5166	0.5178	0.5181	0.4723	0.5209	0.5097	0.5178	0.5181	0.5192	0.5165	113.0	per-col balanced 1 seed=333
017_lucky_s454	0.5212	0.5215	0.5223	0.5230	0.5215	0.5227	0.5233	0.4718	0.5230	0.5166	0.5227	0.5223	0.5241	0.5212	113.0	per-col balanced 1 seed=454
018_lucky_s565	0.5203	0.5205	0.5237	0.5247	0.5205	0.5215	0.5232	0.4689	0.5247	0.5128	0.5215	0.5237	0.5242	0.5203	113.0	per-col balanced 1 seed=565
019_lucky_s676	0.5212	0.5211	0.5247	0.5242	0.5211	0.5230	0.5220	0.4678	0.5242	0.5072	0.5230	0.5247	0.5207	0.5212	100.0	per-col balanced 1 seed=676
020_lucky_s787	0.5184	0.5185	0.5203	0.5182	0.5185	0.5200	0.5206	0.4703	0.5182	0.5142	0.5200	0.5203	0.5218	0.5184	122.0	per-col balanced 1 seed=787
021_lucky_s898	0.5211	0.5214	0.5250	0.5245	0.5214	0.5232	0.5216	0.4708	0.5245	0.5127	0.5232	0.5250	0.5220	0.5211	116.0	per-col balanced 1 seed=898
022_lucky_s1357	0.5233	0.5236	0.5249	0.5219	0.5236	0.5248	0.5218	0.4748	0.5219	0.5100	0.5248	0.5249	0.5182	0.5233	98.0	per-col balanced 1 seed=1357 (new best, SKNSH=0.0084)
023_lucky_s2468	0.5206	0.5205	0.5208	0.5227	0.5205	0.5217	0.5222	0.4720	0.5227	0.5081	0.5217	0.5208	0.5257	0.5206	102.0	per-col balanced 1 seed=2468
024_lucky_s3691	0.5187	0.5187	0.5226	0.5223	0.5187	0.5202	0.5164	0.4733	0.5223	0.5103	0.5202	0.5226	0.5231	0.5187	96.0	per-col balanced 1 seed=3691
025_pair_balanced	0.5214	0.5216	0.5237	0.5220	0.5216	0.5226	0.5211	0.4756	0.5220	0.5119	0.5226	0.5237	0.5209	0.5214	27.0	per-col + per-pair dinucleotide balanced
026_lucky_s5824	0.5221	0.5222	0.5258	0.5226	0.5222	0.5237	0.5221	0.4727	0.5226	0.5104	0.5237	0.5258	0.5211	0.5221	41.0	per-col balanced 1 seed=5824
