experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	time_s	description
001	0.862	0.8619	0.8565	0.867	0.8619	0.8639	0.8062	0.7755	0.867	0.8122	0.8639	0.8565	0.8313	0.862	0.8516	11	random_uniform_iid_seed0
002	0.6979	0.6977	0.6907	0.6794	0.6977	0.7021	0.6580	0.5521	0.6794	0.6579	0.7021	0.6907	0.7045	0.6979	0.6820	9	random_genomic_chr1_11_19_22
003	0.7022	0.7021	0.6971	0.6803	0.7021	0.7062	0.6668	0.5812	0.6803	0.6635	0.7062	0.6971	0.7203	0.7022	0.6935	40	ccre_v4_pan_tissue_chr1_11_19_22
004	0.8490	0.8489	0.8435	0.8495	0.8489	0.8514	0.7942	0.7614	0.8495	0.7955	0.8514	0.8435	0.8152	0.8490	0.8358	11	uniform_motif_consensus_lambda3
005	0.7522	0.7522	0.7451	0.7514	0.7522	0.7546	0.6974	0.7369	0.7514	0.7072	0.7546	0.7451	0.7292	0.7522	0.7409	11	gc_varied_uniform_0.2_0.8
006	0.8552	0.8551	0.8490	0.8563	0.8551	0.8574	0.7972	0.7741	0.8563	0.8073	0.8574	0.8490	0.8254	0.8552	0.8421	19	uniform_pwm_motif_lambda3
007	0.8373	0.8370	0.8283	0.8409	0.8370	0.8394	0.7607	0.7659	0.8409	0.7922	0.8394	0.8283	0.7932	0.8373	0.8198	34	uniform_pwm_motif_lambda10
008	0.8587	0.8586	0.8526	0.8650	0.8586	0.8609	0.7943	0.7721	0.8650	0.8091	0.8609	0.8526	0.8236	0.8587	0.8494	11	random_uniform_seed1_noise_floor
009	0.8672	0.8673	0.8654	0.8693	0.8673	0.8680	0.8371	0.7547	0.8693	0.8085	0.8680	0.8654	0.8488	0.8672	0.8574	17	random_uniform_gc60_seed0
010	0.8496	0.8498	0.8521	0.8379	0.8498	0.8509	0.8338	0.6986	0.8379	0.7864	0.8509	0.8521	0.8405	0.8496	0.8350	12	random_uniform_gc70_seed0
011	0.7695	0.7694	0.7639	0.7731	0.7694	0.7728	0.7055	0.7446	0.7731	0.7245	0.7728	0.7639	0.7413	0.7695	0.7581	10	random_uniform_gc_mix_50_60
012	0.8681	0.8681	0.8647	0.8716	0.8681	0.8695	0.8249	0.7673	0.8716	0.8142	0.8695	0.8647	0.8457	0.8681	0.8569	20	random_uniform_gc55_seed0
013	0.8561	0.8562	0.8539	0.8554	0.8562	0.8572	0.8240	0.7615	0.8554	0.8032	0.8572	0.8539	0.8367	0.8561	0.8467	19	gc60_uniform_pwm_motif_lambda3
014	0.8721	0.8720	0.8650	0.8828	0.8720	0.8736	0.8011	0.7856	0.8828	0.8263	0.8736	0.8650	0.8324	0.8721	0.8579	26	cpg_enriched_markov_gc049
015	0.8842	0.8842	0.8777	0.8975	0.8842	0.8845	0.8242	0.7933	0.8975	0.8354	0.8845	0.8777	0.8441	0.8842	0.8681	40	cpg_enriched_strong_markov_gc055_cpg018
016	0.8755	0.8755	0.8661	0.8939	0.8755	0.8759	0.7917	0.7898	0.8939	0.8259	0.8759	0.8661	0.8200	0.8755	0.8572	46	cpg_max_markov_tcg080
017	0.8358	0.8358	0.8300	0.8483	0.8358	0.8370	0.7761	0.7412	0.8483	0.7805	0.8370	0.8300	0.7937	0.8358	0.8190	41	cpg065_tpa_depleted_polyA_runs
018	0.8810	0.8810	0.8732	0.8954	0.8810	0.8815	0.8098	0.7929	0.8954	0.8336	0.8815	0.8732	0.8345	0.8810	0.8639	61	cpg070_bisect
019	0.8884	0.8885	0.8836	0.8984	0.8885	0.8883	0.8443	0.7879	0.8984	0.8370	0.8883	0.8836	0.8569	0.8884	0.8729	51	cpg065_gc058
020	0.8879	0.8880	0.8839	0.8971	0.8880	0.8879	0.8505	0.7834	0.8971	0.8364	0.8879	0.8839	0.8607	0.8879	0.8729	50	cpg065_gc060
021	0.8896	0.8896	0.8863	0.8985	0.8896	0.8895	0.8561	0.7756	0.8985	0.8367	0.8895	0.8863	0.8648	0.8896	0.8743	56	cpg065_gc062
022	0.8843	0.8845	0.8824	0.8925	0.8845	0.8848	0.8564	0.7569	0.8925	0.8301	0.8848	0.8824	0.8636	0.8843	0.8689	43	cpg065_gc065
023	0.8834	0.8835	0.8806	0.8885	0.8835	0.8835	0.8473	0.7698	0.8885	0.8283	0.8835	0.8806	0.8602	0.8834	0.8675	41	cpg055_gc062
024	0.8876	0.8877	0.8834	0.8983	0.8877	0.8874	0.8477	0.7796	0.8983	0.8346	0.8874	0.8834	0.8582	0.8876	0.8721	45	cpg072_gc062
