experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_uniform_random	0.8526	0.8525	0.8462	0.8592	0.8525	0.8545	0.7878	0.7723	0.8592	0.8057	0.8545	0.8462	0.8202	0.8526	58.1	uniform random over {0,1,2,3}
002_all_zeros	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	43.3	all 0s monoculture
003_monoculture_4way	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	33.3	12500 each of 0/1/2/3 monocultures
004_dirichlet_skewed	0.6545	0.6548	0.6485	0.6613	0.6548	0.6547	0.6139	0.6164	0.6613	0.6138	0.6547	0.6485	0.6333	0.6545	35.4	Dirichlet(0.3) skewed compositions
005_exact_balance	0.8185	0.8180	0.8029	0.8467	0.8180	0.8230	0.6956	0.7741	0.8467	0.7777	0.8230	0.8029	0.7384	0.8185	44.3	exact 50/50/50/50 composition per seq
006_markov_runs	0.8333	0.8331	0.8282	0.8406	0.8331	0.8362	0.7715	0.7348	0.8406	0.7796	0.8362	0.8282	0.7980	0.8333	25.6	Markov p_stay=0.5
007_narrow_constrained	0.8597	0.8594	0.8469	0.8781	0.8594	0.8629	0.7472	0.7790	0.8781	0.8127	0.8629	0.8469	0.7868	0.8597	45.6	random with all char counts in [45,55]
008_tight_constrained	0.8377	0.8373	0.8231	0.8591	0.8373	0.8418	0.7190	0.7754	0.8591	0.7920	0.8418	0.8231	0.7619	0.8377	33.9	random with all char counts in [48,52]
009_wider_constrained	0.8820	0.8819	0.8754	0.8909	0.8819	0.8836	0.8078	0.7770	0.8909	0.8289	0.8836	0.8754	0.8372	0.8820	14.5	uniform over valid count tuples in [43,57]
010_uniform_tuples_38_62	0.8355	0.8355	0.8286	0.8397	0.8355	0.8379	0.7710	0.7664	0.8397	0.7865	0.8379	0.8286	0.8005	0.8355	15.2	uniform over count tuples in [38,62]
011_uniform_tuples_42_58	0.8773	0.8773	0.8717	0.8834	0.8773	0.8786	0.8170	0.7755	0.8834	0.8256	0.8786	0.8717	0.8403	0.8773	12.2	uniform over count tuples in [42,58]
012_uniform_tuples_44_56	0.8704	0.8701	0.8601	0.8855	0.8701	0.8729	0.7688	0.7773	0.8855	0.8205	0.8729	0.8601	0.8063	0.8704	27.4	uniform over count tuples in [44,56]
013_sorted_by_c0	0.8820	0.8819	0.8754	0.8909	0.8819	0.8836	0.8078	0.7770	0.8909	0.8289	0.8836	0.8754	0.8372	0.8820	12.8	009 library sorted by count of '0' — diagnostic
014_block_positional	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	44.5	[43,57] composition + block positional structure
015_multinomial_truncated_43_57	0.8767	0.8765	0.8680	0.8880	0.8765	0.8787	0.7865	0.7813	0.8880	0.8257	0.8787	0.8680	0.8190	0.8767	30.7	multinomial-truncated [43,57] (bell-shaped composition)
016_markov_43_57	0.8420	0.8416	0.8307	0.8574	0.8416	0.8455	0.7360	0.7618	0.8574	0.7925	0.8455	0.8307	0.7730	0.8420	31.8	Markov p_stay=0.4 rejected to [43,57]
017_uniform_marginal_43_57	0.8753	0.8753	0.8693	0.8860	0.8753	0.8766	0.8023	0.7771	0.8860	0.8246	0.8766	0.8693	0.8294	0.8753	12.3	uniform marginal on c0,c1,c2 in [43,57]
018_no_runs	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.2	greedy no-same-char-adjacent placement
019_seed_variance_check	0.8675	0.8672	0.8590	0.8809	0.8672	0.8698	0.7731	0.7776	0.8809	0.8200	0.8698	0.8590	0.8107	0.8675	11.6	009 recipe with seed=7 (noise measurement)
020_stratified_43_57	0.8766	0.8764	0.8689	0.8889	0.8764	0.8784	0.7877	0.7773	0.8889	0.8262	0.8784	0.8689	0.8236	0.8766	18.6	stratified [43,57] (each tuple ~22 times)
021_seed2024	0.8782	0.8781	0.8704	0.8894	0.8781	0.8803	0.7891	0.7757	0.8894	0.8280	0.8803	0.8704	0.8238	0.8782	12.9	009 recipe seed=2024
022_asymmetric_42_57	0.8815	0.8814	0.8748	0.8881	0.8814	0.8830	0.7986	0.7771	0.8881	0.8266	0.8830	0.8748	0.8273	0.8815	-	009 recipe seed=1 (mislabeled dir)
023_asymmetric_43_58	0.8803	0.8804	0.8757	0.8884	0.8804	0.8821	0.8051	0.7791	0.8884	0.8302	0.8821	0.8757	0.8378	0.8803	-	009 recipe seed=100 (mislabeled dir)
024_seed999	0.8779	0.8779	0.8722	0.8848	0.8779	0.8795	0.7993	0.7775	0.8848	0.8261	0.8795	0.8722	0.8265	0.8779	-	009 recipe seed=12345 (mislabeled dir)
025_varied_markov	0.7378	0.7374	0.7119	0.7576	0.7374	0.7349	0.6100	0.6987	0.7576	0.6994	0.7349	0.7119	0.6378	0.7378	48.1	per-seq doubly-stoch Markov α=0.5, rejection [43,57]
026_seed_sweep_13	0.8751	0.8749	0.8667	0.8902	0.8749	0.8771	0.7839	0.7781	0.8902	0.8252	0.8771	0.8667	0.8211	0.8751	18.1	009 recipe seed=13
027_seed_sweep_777	0.8696	0.8694	0.8615	0.8827	0.8694	0.8714	0.7822	0.7765	0.8827	0.8202	0.8714	0.8615	0.8158	0.8696	11.1	009 recipe seed=777
028_seed_sweep_31337	0.8745	0.8745	0.8669	0.8862	0.8745	0.8765	0.7907	0.7757	0.8862	0.8253	0.8765	0.8669	0.8232	0.8745	17.8	009 recipe seed=31337
029_mix_top2_seeds	0.8821	0.8819	0.8749	0.8915	0.8819	0.8834	0.8063	0.7766	0.8915	0.8294	0.8834	0.8749	0.8360	0.8821	11.5	25k of seed=42 + 25k of seed=1 (top-2 mix)
030_mix_top4_seeds	0.8825	0.8823	0.8762	0.8930	0.8823	0.8844	0.8040	0.7785	0.8930	0.8314	0.8844	0.8762	0.8355	0.8825	11.4	12.5k each from top-4 seeds (42,1,100,2024)
