experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform	0.8490	0.8489	0.8435	0.8559	0.8489	0.8510	0.7905	0.7694	0.8559	0.8003	0.8510	0.8435	0.8180	0.8490	45.9	uniform 25% A/C/G/T baseline
002_all_identical	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.7	50k copies of one seq - diversity probe
003_markov2_genome_like	0.7169	0.7163	0.7001	0.7380	0.7163	0.7210	0.6244	0.6806	0.7380	0.6684	0.7210	0.7001	0.6381	0.7169	37.0	markov-2 human dinuc freqs
004_per_seq_variable_gc	0.7512	0.7511	0.7437	0.7488	0.7511	0.7537	0.6968	0.7382	0.7488	0.7068	0.7537	0.7437	0.7279	0.7512	39.1	per-seq GC ~U[0.2,0.8]
005_exact_balanced_perseq	0.8260	0.8255	0.8113	0.8507	0.8255	0.8306	0.7067	0.7752	0.8507	0.7839	0.8306	0.8113	0.7473	0.8260	36.4	exact 50A/50C/50G/50T per seq
006_motif_insertion	0.8173	0.8173	0.8126	0.8143	0.8173	0.8197	0.7664	0.7388	0.8143	0.7619	0.8197	0.8126	0.7903	0.8173	42.0	uniform bg + 3 TF motifs per seq
007_hybrid_strict_random	0.8780	0.8778	0.8696	0.8904	0.8778	0.8798	0.7866	0.7791	0.8904	0.8264	0.8798	0.8696	0.8224	0.8780	42.4	25k strict + 25k random
008_three_way_mix	0.8415	0.8414	0.8364	0.8438	0.8414	0.8435	0.7832	0.7557	0.8438	0.7885	0.8435	0.8364	0.8055	0.8415	40.4	1/3 strict + 1/3 random + 1/3 motif
009_markov_plus_random	0.7739	0.7736	0.7627	0.7865	0.7736	0.7784	0.6868	0.7384	0.7865	0.7338	0.7784	0.7627	0.7198	0.7739	57.8	25k markov + 25k random
010_hybrid_17k_strict_33k_random	0.8673	0.8672	0.8617	0.8756	0.8672	0.8691	0.8060	0.7751	0.8756	0.8215	0.8691	0.8617	0.8328	0.8673	32.4	17k strict + 33k random
011_hybrid_33k_strict_17k_random	0.8744	0.8742	0.8646	0.8870	0.8742	0.8767	0.7756	0.7803	0.8870	0.8244	0.8767	0.8646	0.8148	0.8744	61.4	33k strict + 17k random
012_strict_random_plus_sknsh_motif	0.8791	0.8791	0.8723	0.8882	0.8791	0.8807	0.8085	0.7769	0.8882	0.8272	0.8807	0.8723	0.8345	0.8791	44.3	25k strict + 25k random+1 sknsh motif
013_strict_random_plus_sknsh_2motifs	0.8759	0.8758	0.8684	0.8872	0.8758	0.8779	0.7956	0.7772	0.8872	0.8242	0.8779	0.8684	0.8260	0.8759	51.7	25k strict + 25k random+2 sknsh motifs
014_strict_random_plus_k562_motif	0.8811	0.8810	0.8744	0.8900	0.8810	0.8820	0.8116	0.7780	0.8900	0.8291	0.8820	0.8744	0.8375	0.8811	53.7	25k strict + 25k random+1 K562 motif
015_strict_random_plus_diverse_motif	0.8412	0.8411	0.8347	0.8442	0.8411	0.8431	0.7672	0.7617	0.8442	0.7883	0.8431	0.8347	0.7938	0.8412	41.5	25k strict + 25k random+1 diverse motif (HepG2 crash)
016_strict_random_random8mer_control	0.8805	0.8804	0.8733	0.8914	0.8804	0.8821	0.7999	0.7779	0.8914	0.8291	0.8821	0.8733	0.8305	0.8805	43.5	25k strict + 25k random+1 random 8mer (control)
017_strict_random_50_8mer_bank	0.8820	0.8818	0.8751	0.8927	0.8818	0.8835	0.8020	0.7812	0.8927	0.8302	0.8835	0.8751	0.8333	0.8820	52.6	25k strict + 25k random+1 8mer (50-bank)
018_strict_random_16mer_insert	0.8723	0.8722	0.8653	0.8773	0.8722	0.8748	0.7890	0.7628	0.8773	0.8221	0.8748	0.8653	0.8222	0.8723	35.9	25k strict + 25k random+1 16mer (50-bank)
019_three_mode_random_split	0.8771	0.8770	0.8711	0.8880	0.8770	0.8791	0.8054	0.7757	0.8880	0.8262	0.8791	0.8711	0.8337	0.8771	48.0	insert 8mer in both strict and random
020_strict_random_two_inserts_fixed_pos	0.8784	0.8782	0.8710	0.8890	0.8782	0.8799	0.7974	0.7770	0.8890	0.8267	0.8799	0.8710	0.8291	0.8784	35.5	2 8mer inserts at fixed pos 50,142 (50-bank each)
021_ratio_30k_strict_20k_insertrand	0.8756	0.8754	0.8679	0.8879	0.8754	0.8777	0.7873	0.7767	0.8879	0.8259	0.8777	0.8679	0.8211	0.8756	51.0	30k strict + 20k (random+8mer) ratio shift
022_three_mode_strict_rand_insertrand	0.8714	0.8712	0.8631	0.8829	0.8712	0.8740	0.7803	0.7767	0.8829	0.8211	0.8740	0.8631	0.8148	0.8714	43.3	25k strict + 12.5k pure rand + 12.5k insert-rand
023_strict_with_balanced_insert_plus_insertrand	0.8696	0.8694	0.8610	0.8816	0.8694	0.8717	0.7799	0.7735	0.8816	0.8205	0.8717	0.8610	0.8134	0.8696	44.7	strict+balanced-8mer + rand+8mer (strict insert hurts)
024_random_two_inserts_random_pos	0.8779	0.8778	0.8707	0.8866	0.8778	0.8794	0.8028	0.7771	0.8866	0.8251	0.8794	0.8707	0.8317	0.8779	55.9	2 random-pos 8mer inserts (50-bank each)
025_mix_014_and_017_recipes	0.8757	0.8756	0.8684	0.8865	0.8756	0.8775	0.7931	0.7749	0.8865	0.8252	0.8775	0.8684	0.8252	0.8757	60.7	25k strict + 12.5k rand+3motif + 12.5k rand+50bank
026_block_strict_plus_insertrand	0.8185	0.8184	0.8107	0.8252	0.8184	0.8212	0.7422	0.7291	0.8252	0.7627	0.8212	0.8107	0.7741	0.8185	55.3	4-bp block-stratified strict + rand+8mer (block too repetitive)
027_strict_random_200_8mer_bank	0.8753	0.8752	0.8685	0.8846	0.8752	0.8767	0.7978	0.7781	0.8846	0.8249	0.8767	0.8685	0.8279	0.8753	61.2	25k strict + 25k random+8mer (200-bank)
028_repeat_017_new_seed	0.8738	0.8736	0.8649	0.8835	0.8736	0.8757	0.7834	0.7778	0.8835	0.8228	0.8757	0.8649	0.8203	0.8738	73.3	017 recipe with seed 999999 (variance check)
029_017_recipe_seed11111	0.8771	0.8770	0.8708	0.8883	0.8770	0.8791	0.7990	0.7786	0.8883	0.8259	0.8791	0.8708	0.8305	0.8771	37.8	017 recipe with seed 11111 (variance check)
030_017_recipe_seed42	0.8783	0.8781	0.8713	0.8902	0.8781	0.8801	0.7940	0.7806	0.8902	0.8295	0.8801	0.8713	0.8298	0.8783	55.5	017 recipe with seed 314159 (final seed search)
