experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform	0.0619	0.0601	0.0756	0.0737	0.0601	0.0615	0.1219	0.0442	0.0737	0.1176	0.0615	0.0756	0.1220	0.0619	65	random uniform DNA baseline
002_motif_augmented	0.0646	0.0632	0.0789	0.0814	0.0632	0.0652	0.1297	0.0475	0.0814	0.1094	0.0652	0.0789	0.1239	0.0646	57	random + 1-5 IUPAC TF motifs per seq
003_genomic_ccre	0.0758	0.0742	0.0949	0.0863	0.0742	0.0753	0.1444	0.0652	0.0863	0.1277	0.0753	0.0949	0.1429	0.0758	53	ENCODE cCREs 12.5K each PLS/pELS/dELS + CA/random
004_pure_ccre_div	0.0755	0.0739	0.0954	0.0862	0.0739	0.0755	0.1429	0.0617	0.0862	0.1280	0.0755	0.0954	0.1409	0.0755	48	pure cCREs dELS-heavy no random bg
005_ccre_vs_shuffled	0.0727	0.0712	0.0897	0.0859	0.0712	0.0718	0.1411	0.0604	0.0859	0.1291	0.0718	0.0897	0.1359	0.0727	40	25K cCREs + 25K Markov dinuc-matched
006_ccre_plus_tss	0.0708	0.0693	0.0968	0.0849	0.0693	0.0713	0.1403	0.0616	0.0849	0.1187	0.0713	0.0968	0.1366	0.0708	50	35K cCREs + 15K GENCODE TSS windows
007_multiwindow_ccre	0.0747	0.0730	0.0936	0.0896	0.0730	0.0741	0.1458	0.0626	0.0896	0.1303	0.0741	0.0936	0.1406	0.0747	52	16.7K cCREs * 3 shifted windows
008_celltype_dnase	0.0764	0.0751	0.0950	0.0903	0.0751	0.0756	0.1374	0.0621	0.0903	0.1248	0.0756	0.0950	0.1380	0.0764	39	16.7K each K562/HepG2/SKNSH DNase peaks
009_hybrid_ccre_dnase	0.0772	0.0755	0.0955	0.0913	0.0755	0.0765	0.1437	0.0639	0.0913	0.1286	0.0765	0.0955	0.1409	0.0772	46	20K cCRE + 25K DNase + 5K random
010_hybrid_3sources	0.0753	0.0737	0.0911	0.0896	0.0737	0.0748	0.1429	0.0648	0.0896	0.1281	0.0748	0.0911	0.1374	0.0753	110	15K cCRE + 15K DNase + 15K H3K27ac + 5K random
011_hybrid_more_dnase	0.0759	0.0742	0.0948	0.0888	0.0742	0.0755	0.1420	0.0661	0.0888	0.1268	0.0755	0.0948	0.1414	0.0759	90	15K cCRE + 30K DNase (10K/cell) + 5K random
012_multicell_dnase	0.0758	0.0742	0.0938	0.0898	0.0742	0.0770	0.1394	0.0640	0.0898	0.1280	0.0770	0.0938	0.1412	0.0758	78	15K cCRE + 15K measured DNase + 15K unmeasured DNase + 5K random
013_reseed_009	0.0734	0.0719	0.0889	0.0879	0.0719	0.0722	0.1398	0.0674	0.0879	0.1300	0.0722	0.0889	0.1398	0.0734	94	REPLICATE of 009 with SEED=13 (noise floor)
014_topsignal_dnase	0.0721	0.0707	0.0884	0.0858	0.0707	0.0712	0.1412	0.0628	0.0858	0.1291	0.0712	0.0884	0.1371	0.0721	92	20K cCRE + top-signal DNase (8K K562 + 8K HepG2 + 9K SKNSH) + 5K random
015_sknsh_heavy	0.0730	0.0715	0.0882	0.0882	0.0715	0.0726	0.1408	0.0602	0.0882	0.1301	0.0726	0.0882	0.1380	0.0730	79	10K cCRE + 8K K562 + 8K HepG2 + 14K SKNSH DNase + 5K SKNSH H3K27ac + 5K random
016_multiwin_hybrid	0.0751	0.0736	0.0927	0.0884	0.0736	0.0753	0.1444	0.0642	0.0884	0.1278	0.0753	0.0927	0.1419	0.0751	75	009-composition × 3 shifted windows per locus + 5K random
017_ccre_dnase_intersect	0.0757	0.0740	0.0925	0.0870	0.0740	0.0746	0.1409	0.0578	0.0870	0.1247	0.0746	0.0925	0.1396	0.0757	64	30K cCRE-overlap DNase + 15K cCRE-no-peak + 5K random
018_ctcf_chip_aug	0.0743	0.0729	0.0927	0.0890	0.0729	0.0742	0.1415	0.0642	0.0890	0.1274	0.0742	0.0927	0.1432	0.0743	69	15K cCRE + 21K DNase + 9K CTCF ChIP + 5K random
