experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_all_zeros	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56	all zeros: NaN (constant input)
002_uniform_random	0.0648	0.0634	0.0782	0.0813	0.0634	0.0653	0.1310	0.0563	0.0813	0.1194	0.0653	0.0782	0.1186	0.0648	66	iid uniform {0,1,2,3} seed=42
003_position_gradient	0.0519	0.0506	0.0730	0.0493	0.0506	0.0508	0.0885	0.0270	0.0493	0.0594	0.0508	0.0730	0.0895	0.0519	60	comp gradient by seq index
004_repeated_0123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85	50K copies of 0123 repeat
005_same_composition_shuffles	-0.0052	-0.0053	-0.0132	-0.0004	-0.0053	-0.0062	-0.0188	-0.0015	-0.0004	-0.0117	-0.0062	-0.0132	-0.0160	-0.0052	74	shuffles of fixed comp (50 each)
006_dirichlet_extreme	0.0774	0.0757	0.0977	0.0900	0.0757	0.0773	0.1479	0.0719	0.0900	0.1286	0.0773	0.0977	0.1445	0.0774	77	Dir(0.3) per-seq weights
007_dirichlet_0p1	0.0761	0.0745	0.0973	0.0872	0.0745	0.0767	0.1442	0.0661	0.0872	0.1223	0.0767	0.0973	0.1402	0.0761	64	Dir(0.1) more extreme
008_homopolymers	0.0405	0.0402	0.0623	0.0351	0.0402	0.0405	0.0617	0.0198	0.0351	0.0223	0.0405	0.0623	0.0645	0.0405	60	equal-mix homopolymers (4 corners)
009_dir_mixture	0.0779	0.0760	0.0975	0.0899	0.0760	0.0774	0.1476	0.0730	0.0899	0.1292	0.0774	0.0975	0.1451	0.0779	75	mix Dir(0.1,0.3,1.0,3.0)
010_bigram_dirichlet	0.0784	0.0768	0.0986	0.0898	0.0768	0.0781	0.1458	0.0690	0.0898	0.1259	0.0781	0.0986	0.1432	0.0784	83	Dir(0.3) bigram-level Markov
011_half_segment	0.0741	0.0727	0.0946	0.0854	0.0727	0.0744	0.1400	0.0639	0.0854	0.1215	0.0744	0.0946	0.1359	0.0741	87	half-segment per-seq Dir(0.3)
012_axis_q0q3	0.0380	0.0374	0.0588	0.0318	0.0374	0.0376	0.0797	0.0345	0.0318	0.0453	0.0376	0.0588	0.0844	0.0380	80	only q0+q3=1 axis
013_dir03_sorted_q0	0.0770	0.0753	0.0973	0.0891	0.0753	0.0769	0.1471	0.0748	0.0891	0.1285	0.0769	0.0973	0.1441	0.0770	60	Dir(0.3) sorted by q0 desc
014_dir_0p5	0.0770	0.0753	0.0970	0.0906	0.0753	0.0767	0.1473	0.0725	0.0906	0.1283	0.0767	0.0970	0.1437	0.0770	54	Dir(0.5)
015_dir03_with_motifs	0.0773	0.0756	0.0964	0.0890	0.0756	0.0769	0.1463	0.0709	0.0890	0.1267	0.0769	0.0964	0.1440	0.0773	52	Dir(0.3) +5 random 6-mer inserts
016_exact_count_dir	0.0782	0.0765	0.0985	0.0905	0.0765	0.0782	0.1464	0.0705	0.0905	0.1276	0.0782	0.0985	0.1421	0.0782	58	exact-count Dir(0.3)
017_trigram_dir	0.0765	0.0749	0.0951	0.0901	0.0749	0.0762	0.1449	0.0663	0.0901	0.1223	0.0762	0.0951	0.1442	0.0765	65	trigram-Dir(0.3) 2nd order Markov
018_asym_bimodal	0.0776	0.0760	0.0971	0.0895	0.0760	0.0767	0.1466	0.0695	0.0895	0.1299	0.0767	0.0971	0.1438	0.0776	82	asymmetric Dir 4-way bimodal mix
019_bigram_dir_0p1	0.0753	0.0738	0.0947	0.0846	0.0738	0.0745	0.1411	0.0679	0.0846	0.1196	0.0745	0.0947	0.1401	0.0753	22	bigram-Dir alpha=0.1 (sparser)
020_bigram_dir_0p5	0.0770	0.0753	0.0979	0.0903	0.0753	0.0766	0.1451	0.0733	0.0903	0.1259	0.0766	0.0979	0.1442	0.0770	17	bigram-Dir alpha=0.5
021_bigram_dir_0p2	0.0761	0.0743	0.0961	0.0880	0.0743	0.0758	0.1432	0.0640	0.0880	0.1230	0.0758	0.0961	0.1426	0.0761	39	bigram-Dir alpha=0.2
022_uniform_simplex_grid	0.0769	0.0752	0.0972	0.0901	0.0752	0.0767	0.1479	0.0753	0.0901	0.1318	0.0767	0.0972	0.1443	0.0769	20	uniform lattice on 4-simplex
023_dir_0p2	0.0771	0.0755	0.0971	0.0893	0.0755	0.0769	0.1457	0.0693	0.0893	0.1266	0.0769	0.0971	0.1428	0.0771	23	monogram Dir(0.2)
024_bigram_dir_mix	0.0771	0.0754	0.0969	0.0881	0.0754	0.0767	0.1447	0.0727	0.0881	0.1269	0.0767	0.0969	0.1444	0.0771	11	bigram-Dir alpha mix(0.1,0.3,0.5)
025_mix_bigram_grid	0.0776	0.0760	0.0986	0.0916	0.0760	0.0777	0.1457	0.0708	0.0916	0.1295	0.0777	0.0986	0.1458	0.0776	13	25K bigram-Dir(0.3)+25K uniform-grid
026_bigram_dir_0p4	0.0764	0.0749	0.0954	0.0889	0.0749	0.0763	0.1451	0.0646	0.0889	0.1273	0.0763	0.0954	0.1432	0.0764	14	bigram-Dir alpha=0.4
027_bigram_dir_0p3_v2	0.0761	0.0745	0.0962	0.0884	0.0745	0.0756	0.1447	0.0707	0.0884	0.1236	0.0756	0.0962	0.1433	0.0761	21	bigram-Dir(0.3) seed=151 (repro check)
028_bigram_dir_0p35	0.0768	0.0748	0.0961	0.0889	0.0748	0.0765	0.1458	0.0681	0.0889	0.1257	0.0765	0.0961	0.1431	0.0768	14	bigram-Dir alpha=0.35 seed=7
029_bigram_dir_0p3_double	0.0769	0.0752	0.0968	0.0901	0.0752	0.0764	0.1446	0.0709	0.0901	0.1266	0.0764	0.0968	0.1452	0.0769	14	bigram-Dir(0.3) seed=99
