experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	time_s	description
001_random_uniform	0.1294	0.1281	0.0771	0.3902	0.1281	0.1189	-0.1416	0.5795	0.3902	0.0938	0.1189	0.0771	-0.1470	0.1294	0.1580	36	uniform random ACGT, seed 0
002_random_genomic	0.5037	0.5050	0.5198	0.3869	0.5050	0.5047	0.6369	-0.1364	0.3869	0.4551	0.5047	0.5198	0.6212	0.5037	0.4584	39	random 200bp windows from hg38 autosomes+X+Y
003_ccre_enriched	0.5147	0.5148	0.4976	0.5528	0.5148	0.5091	0.4811	0.3053	0.5528	0.4674	0.5091	0.4976	0.4661	0.5147	0.4927	104	200bp windows centered on ENCODE V3 cCREs (uniform sample)
004_mix_genomic_ccre	0.5687	0.5694	0.5684	0.5218	0.5694	0.5671	0.6303	0.0818	0.5218	0.5177	0.5671	0.5684	0.6115	0.5687	0.5309	32	50/50 mix: random genomic + cCRE centered
005_threeway_mix	0.5291	0.5299	0.5254	0.4877	0.5299	0.5242	0.5750	0.2048	0.4877	0.4765	0.5242	0.5254	0.5535	0.5291	0.5002	17	1/3 each: random uniform + random genomic + cCRE
006_mix_genomic_dhs_balanced	0.5477	0.5486	0.5538	0.4723	0.5486	0.5473	0.6370	-0.0096	0.4723	0.5040	0.5473	0.5538	0.6204	0.5477	0.5065	46	50/50 mix: random genomic + DHS Index balanced across 16 components
007_genomic_ccre_classbalanced	0.5759	0.5765	0.5734	0.5473	0.5765	0.5746	0.6263	0.1293	0.5473	0.5174	0.5746	0.5734	0.6067	0.5759	0.5411	18	50/50 mix: random genomic + class-balanced cCRE (5k each of PLS pELS dELS CTCF DNase-H3K4me3)
008_ratio_30_70	0.5722	0.5728	0.5648	0.5697	0.5728	0.5692	0.5991	0.2121	0.5697	0.5088	0.5692	0.5648	0.5767	0.5722	0.5424	30	30/70 mix: genomic + class-balanced cCRE
009_genomic_ccre_dhs	0.5701	0.5708	0.5703	0.5243	0.5708	0.5693	0.6333	0.0807	0.5243	0.5173	0.5693	0.5703	0.6154	0.5701	0.5326	36	3-way: 50% genomic + 25% class-balanced cCRE + 25% DHS-balanced
010_genomic_ccre_cpgi	0.5754	0.5760	0.5710	0.5638	0.5760	0.5739	0.6148	0.1743	0.5638	0.5107	0.5739	0.5710	0.5941	0.5754	0.5439	15	3-way: 50% genomic + 40% class-balanced cCRE (4k/class) + 10% CpG islands
