experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	0.1560	0.1547	0.1042	0.4056	0.1547	0.1451	-0.1061	0.5788	0.4056	0.1172	0.1451	0.1042	-0.1112	0.1560	53	uniform random 200bp x 50k
002_zero_variance	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41	one seq x 50k (diagnostic)
003_motif_gradient	0.0959	0.0944	0.0447	0.3811	0.0944	0.0883	-0.2102	0.5550	0.3811	0.0642	0.0883	0.0447	-0.2023	0.0959	53	stratified motif density 0-9 inserts
004_gc_gradient	0.3922	0.3913	0.3816	0.3456	0.3913	0.3916	0.4424	0.2037	0.3456	0.3888	0.3916	0.3816	0.4188	0.3922	26	GC% uniform [0.2,0.8] per seq
005_gc_extreme	0.4139	0.4132	0.4028	0.3829	0.4132	0.4134	0.4617	0.1874	0.3829	0.3958	0.4134	0.4028	0.4354	0.4139	71	GC% uniform [0.05,0.95]
006_gc_cpg	0.4186	0.4180	0.4105	0.3721	0.4180	0.4183	0.4750	0.1636	0.3721	0.4014	0.4183	0.4105	0.4501	0.4186	14	GC+CpG joint Markov chain
007_natural_hg38	0.5408	0.5419	0.5497	0.4695	0.5419	0.5410	0.6343	-0.0388	0.4695	0.4898	0.5410	0.5497	0.6191	0.5408	53	random 200bp hg38 chr1+chr22
008_ccres	0.4627	0.4628	0.4355	0.5798	0.4628	0.4558	0.3369	0.4149	0.5798	0.3856	0.4558	0.4355	0.3183	0.4627	55	cCRE-centered 200bp chr1+chr22
009_natural_gc_stratified	0.5562	0.5569	0.5502	0.5743	0.5569	0.5555	0.5771	0.1874	0.5743	0.4686	0.5555	0.5502	0.5506	0.5562	56	natural hg38 GC-stratified [0.20,0.80]
010_multichrom_strat	0.5539	0.5546	0.5479	0.5728	0.5546	0.5532	0.5753	0.1895	0.5728	0.4673	0.5532	0.5479	0.5495	0.5539	60	natural multi-chrom GC-stratified 40 bins
011_natural_plus_motifs	0.5240	0.5252	0.5353	0.4365	0.5252	0.5238	0.6300	-0.0662	0.4365	0.4782	0.5238	0.5353	0.6149	0.5240	34	natural hg38 + 0-6 inserted motifs
012_natural_2d_strat	0.5476	0.5484	0.5417	0.5691	0.5484	0.5471	0.5687	0.1816	0.5691	0.4576	0.5471	0.5417	0.5409	0.5476	11	stratified nat + 5k each extreme-GC synth tails
013_mpra_train	0.5699	0.5707	0.5627	0.5822	0.5707	0.5676	0.5825	0.2075	0.5822	0.4976	0.5676	0.5627	0.5590	0.5699	11	random 50k from Malinois MPRA training set
014_mpra_activity_strat	0.5682	0.5690	0.5644	0.5782	0.5690	0.5678	0.5885	0.1700	0.5782	0.5017	0.5678	0.5644	0.5653	0.5682	0	MPRA train sequences activity-stratified 6x6x6=216 cells
015_mpra_lowSE	0.4726	0.4733	0.4464	0.5226	0.4733	0.4601	0.3967	0.3846	0.5226	0.3792	0.4601	0.4464	0.3728	0.4726	20	MPRA train filtered by lowest-quartile lfcSE
