experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	time_s	description
001_random_baseline	-0.002	-0.0018	-0.0022	-0.0064	-0.0018	-0.0016	-0.0027	-0.001	-0.0064	0.001	-0.0016	-0.0022	-0.0008	-0.002	-0.0024	48.2	Random uniform sequences (floor)
002_encode_ccre_random	-0.0030	-0.0029	-0.0038	0.0040	-0.0029	-0.0024	-0.0023	-0.0014	0.0040	-0.0045	-0.0024	-0.0038	-0.0004	-0.0030	-0.0018	38.0	Random ENCODE V4 cCREs, 200bp centered
003_ccre_stratified	-0.0031	-0.0033	-0.0011	0.0029	-0.0033	-0.0024	-0.0003	0.0011	0.0029	-0.0013	-0.0024	-0.0011	-0.0039	-0.0031	-0.0014	28.0	Stratified ENCODE cCREs by class (PLS/pELS/dELS/TF/CA)
004_tf_motifs_embedded	-0.0015	-0.0017	-0.0025	-0.0008	-0.0017	-0.0014	-0.0051	0.0025	-0.0008	-0.0065	-0.0014	-0.0025	-0.0075	-0.0015	-0.0023	49.0	Random bg + 1-6 embedded consensus TF motifs
005_dnase_peaks_3cell	0.0021	0.0018	0.0012	-0.0002	0.0018	0.0014	0.0024	0.0063	-0.0002	-0.0040	0.0014	0.0012	0.0029	0.0021	0.0015	64.0	DNase peaks K562/HepG2/SK-N-SH (16667 each, 200bp centered)
006_dnase_with_shuffles	-0.0024	-0.0026	-0.0040	-0.0008	-0.0026	-0.0032	0.0004	-0.0016	-0.0008	-0.0022	-0.0032	-0.0040	0.0024	-0.0024	-0.0019	50.0	DNase peaks + dinuc-shuffled controls (50/50 mix)
007_dnase_duplicated	-0.0025	-0.0028	-0.0052	0.0030	-0.0028	-0.0020	-0.0012	0.0074	0.0030	0.0049	-0.0020	-0.0052	0.0002	-0.0025	-0.0006	44.0	5000 top DNase peaks x 10 duplicates
008_mpra_genomic_seqs	0.0031	0.0030	0.0040	0.0004	0.0030	0.0030	-0.0008	-0.0072	0.0004	0.0049	0.0030	0.0040	0.0041	0.0031	0.0020	33.0	Tewhey lab MPRA library 200bp seqs excl chr7/13
009_mpra_ref_alt	-0.0008	-0.0010	0.0012	-0.0025	-0.0010	0.0000	0.0037	0.0015	-0.0025	-0.0058	0.0000	0.0012	-0.0014	-0.0008	-0.0006	26.0	K562+SKNSH MPRA ref+alt pairs 25k variants x 2 alleles
010_mpra_high_activity	0.0047	0.0045	0.0054	-0.0015	0.0045	0.0044	-0.0023	-0.0030	-0.0015	0.0010	0.0044	0.0054	0.0020	0.0047	0.0023	36.0	Top 50k by |log2FC| across all 3 Tewhey BEDs (SKNSH avg r=0.0078)
011_mpra_stratified_high_activity	0.0061	0.0061	0.0081	0.0002	0.0061	0.0062	-0.0014	-0.0056	0.0002	-0.0005	0.0062	0.0081	0.0049	0.0061	0.0036	32.0	Top-|lfc| 16.7k per cell type (K562/HepG2/SKNSH stratified)
012_mpra_hepg2_weighted	0.0044	0.0043	0.0071	0.0002	0.0043	0.0044	-0.0007	-0.0096	0.0002	0.0001	0.0044	0.0071	0.0036	0.0044	0.0024	27.0	HepG2-weighted K15/H25/S10 — HepG2 not count-limited
013_mpra_dropout_hepg2	0.0064	0.0063	0.0095	0.0001	0.0063	0.0068	-0.0022	-0.0054	0.0001	-0.0016	0.0068	0.0095	0.0057	0.0064	0.0039	32.0	K20/H10/S20 — cutting marginal HepG2 boosted HepG2 r 2.3x
014_mpra_strict_hepg2	0.0067	0.0066	0.0082	0.0002	0.0066	0.0072	-0.0015	-0.0045	0.0002	-0.0011	0.0072	0.0082	0.0040	0.0067	0.0039	21.0	K25/H5/S20 — HepG2 r=0.0028, K562 r dropped (looser threshold)
015_mpra_optimum_alloc	0.0064	0.0062	0.0072	0.0014	0.0062	0.0073	0.0007	-0.0033	0.0014	0.0005	0.0073	0.0072	0.0078	0.0064	0.0045	34.0	K22/H3-strict/S25 — HepG2 0.0044 (5x), eval_13=0.0078 best
016_mpra_sknsh_strict	0.0047	0.0046	0.0065	-0.0006	0.0046	0.0051	-0.0027	-0.0044	-0.0006	0.0028	0.0051	0.0065	0.0025	0.0047	0.0028	15.0	S12-strict / H3-strict / K35-fill — K562 collapsed
017_mpra_alt_for_top_k562	0.0042	0.0041	0.0055	0.0006	0.0041	0.0046	-0.0014	-0.0034	0.0006	0.0039	0.0046	0.0055	0.0034	0.0042	0.0029	16.0	K562 17ref+5alt/H3-strict/S25 — K562 collapsed; HepG2 ↑
018_mpra_hepg2_replicated	0.0055	0.0052	0.0062	0.0010	0.0052	0.0062	0.0000	-0.0054	0.0010	0.0020	0.0062	0.0062	0.0080	0.0055	0.0038	14.0	H3-strict x2 dups, K19, S25 — HepG2 ↑0.0049, K562 ↓
019_mpra_broadly_active	0.0064	0.0061	0.0076	0.0012	0.0061	0.0071	-0.0003	-0.0033	0.0012	-0.0004	0.0071	0.0076	0.0079	0.0064	0.0043	15.0	11k K562∩HepG2 strong + H3-strict + 14k K562-only + S25
