experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	-0.0011	-0.0014	0.0036	-0.0013	-0.0014	-0.0012	0.0008	0.0006	-0.0013	-0.0023	-0.0012	0.0036	-0.0047	-0.0011	55	random uniform seed=42
002_position_pattern	-0.0007	-0.0007	-0.0021	0.0023	-0.0007	-0.0022	-0.0002	0.0014	0.0023	-0.0075	-0.0022	-0.0021	-0.0001	-0.0007	35	pos p biased to char p%4 70%
003_gradient_composition	0.0022	0.0022	-0.0003	-0.0018	0.0022	0.0024	-0.0006	0.0049	-0.0018	-0.0007	0.0024	-0.0003	-0.0001	0.0022	30	seq i has fraction i/N of 0s
004_motif_buckets_pos90	-0.0013	-0.0011	-0.0013	0.0005	-0.0011	-0.0012	0.0021	-0.0002	0.0005	-0.0030	-0.0012	-0.0013	0.0038	-0.0013	15	v08 winner: 4 polyX buckets pos90 len20
005_markov_runs	-0.0011	-0.0011	-0.0061	0.0009	-0.0011	-0.0012	0.0049	0.0025	0.0009	-0.0064	-0.0012	-0.0061	0.0041	-0.0011	13	Markov stay=0.7 local autocorrelation
006_buckets_biased_compo	0.0022	0.0020	0.0009	0.0001	0.0020	0.0020	-0.0008	-0.0016	0.0001	0.0034	0.0020	0.0009	-0.0070	0.0022	12	4 blocks HEAVY=0.85 (FIRST SIGNAL)
007_buckets_heavy95	-0.0008	-0.0005	0.0002	0.0035	-0.0005	0.0002	-0.0019	-0.0010	0.0035	0.0039	0.0002	0.0002	0.0018	-0.0008	12	4 blocks HEAVY=0.95
008_buckets_heavy70	0.0023	0.0025	0.0066	0.0000	0.0025	0.0030	-0.0000	0.0068	0.0000	0.0010	0.0030	0.0066	0.0051	0.0023	13	4 blocks HEAVY=0.70
009_buckets_heavy50	-0.0000	-0.0001	-0.0023	-0.0021	-0.0001	0.0009	-0.0032	0.0056	-0.0021	-0.0052	0.0009	-0.0023	-0.0070	-0.0000	12	4 blocks HEAVY=0.50
010_buckets85_markov40	0.0002	-0.0002	0.0026	-0.0000	-0.0002	0.0005	-0.0011	0.0022	-0.0000	0.0054	0.0005	0.0026	-0.0046	0.0002	13	HEAVY=0.85 + Markov stay=0.4
