experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	-0.0020	-0.0018	-0.0022	-0.0064	-0.0018	-0.0016	-0.0027	-0.0010	-0.0064	0.0010	-0.0016	-0.0022	-0.0008	-0.0020	12.9	random uniform ACGT
002_gc_rich	0.0007	0.0002	-0.0007	-0.0002	0.0002	0.0008	0.0081	-0.0062	-0.0002	0.0031	0.0008	-0.0007	-0.0036	0.0007	12	70% GC random
003_at_rich	0.0037	0.0034	0.0011	0.0011	0.0034	0.0019	-0.0042	0.0033	0.0011	-0.0011	0.0019	0.0011	0.0013	0.0037	13	70% AT random
004_all_identical	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13	all 50k seqs identical -> NaN (constant input)
005_tata_inserted	-0.0003	-0.0002	-0.0013	-0.0037	-0.0002	-0.0005	-0.0001	0.0027	-0.0037	-0.0026	-0.0005	-0.0013	-0.0029	-0.0003	17	TATA at pos 50, CAAT at pos 100
006_motif_panel	0.0038	0.0043	0.0032	-0.0022	0.0043	0.0042	-0.0053	-0.0056	-0.0022	-0.0024	0.0042	0.0032	0.0049	0.0038	23	46-motif panel, 0-6 motifs/seq
007_motif_dense	0.0018	0.0018	0.0008	0.0000	0.0018	0.0015	0.0019	-0.0007	0.0000	-0.0016	0.0015	0.0008	-0.0051	0.0018	35	motif tiers 0-18, 46-motif panel
008_real_human_dna	0.0011	0.0011	0.0033	0.0055	0.0011	0.0019	0.0034	0.0024	0.0055	-0.0013	0.0019	0.0033	-0.0039	0.0011	20	chr22 hg38 200bp windows
009_bimodal	0.0012	0.0014	-0.0002	-0.0072	0.0014	0.0013	0.0031	-0.0015	-0.0072	-0.0036	0.0013	-0.0002	0.0021	0.0012	20	25k motif-dense + 25k random
010_chr22_cCREs	-0.0025	-0.0027	-0.0054	-0.0004	-0.0027	-0.0015	0.0041	0.0005	-0.0004	0.0088	-0.0015	-0.0054	0.0003	-0.0025	56	chr22 ENCODE cCRE regions
011_gosai_sample	0.0122	0.0122	0.0067	0.0119	0.0122	0.0129	-0.0019	-0.0029	0.0119	0.0028	0.0129	0.0067	-0.0022	0.0122	48	50k random sample from Gosai 2024 dataset
012_gosai_top_activity	0.0111	0.0104	0.0092	0.0194	0.0104	0.0105	-0.0005	0.0000	0.0194	-0.0045	0.0105	0.0092	0.0013	0.0111	28	top 50k Gosai by max |log2FC|
013_gosai_cre_only	0.0037	-0.0010	0.0023	0.0042	-0.0010	-0.0012	-0.0057	-0.0016	0.0042	-0.0002	-0.0012	0.0023	0.0012	0.0037	23.0	CRE-project only (14K repeated)
014_gosai_gtex	0.0144	0.0148	0.0159	0.0186	0.0148	0.0148	0.0014	0.0054	0.0186	-0.0037	0.0148	0.0159	0.0069	0.0144	22.3	GTEX project only (all chrs)
015_gosai_ukbb	0.0119	0.0127	0.0174	0.0096	0.0127	0.0135	-0.0014	-0.0007	0.0096	-0.0036	0.0135	0.0174	-0.0037	0.0119	18.4	UKBB project only
