experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_ccre_class_balanced	0.7262	0.8190	0.8005	0.7935	0.7259	0.8191	0.7467	0.6849	0.8634	0.7818	0.7132	0.6890	0.7360	0.8194	1237	cCRE class-balanced (10k each: PLS/pELS/dELS/CTCF-only/DNase-H3K4me3), 200bp centered
002_ccre_balanced_plus_random	0.7278	0.8194	0.8003	0.7888	0.7276	0.8194	0.7466	0.7149	0.8570	0.7830	0.7147	0.6891	0.7330	0.8198	909	40K cCRE class-balanced (8k each) + 10K iid random ACGT
003_ccre_balanced_plus_genomic	0.7301	0.8218	0.8046	0.7910	0.7300	0.8220	0.7620	0.6755	0.8616	0.7777	0.7171	0.6925	0.7541	0.8220	1249	40K cCRE class-balanced + 10K random genomic windows (non-cCRE)
004_ccre_iid_genomic_mix	0.7395	0.8342	0.8178	0.7998	0.7395	0.8343	0.7724	0.7160	0.8712	0.7989	0.7265	0.7029	0.7671	0.8344	1309	40K cCRE class-bal + 5K iid random + 5K random genomic windows; SYNERGY: best on every eval
005_ccre_iid_gen_shuf	0.7343	0.8266	0.8095	0.7903	0.7344	0.8269	0.7689	0.7055	0.8590	0.7870	0.7216	0.6972	0.7612	0.8268	1307	35K cCRE + 5K iid + 5K human genomic + 5K mono-shuffled genomic; regression vs 004
006_ccre_iid_human_mouse	0.7468	0.8418	0.8262	0.8045	0.7469	0.8420	0.7871	0.7277	0.8753	0.8072	0.7341	0.7112	0.7793	0.8418	1320	35K cCRE + 5K iid + 5K human genomic + 5K mouse mm10 genomic; cross-species axis CONFIRMED, new best on every eval
007_ccre_iid_3species	0.7446	0.8397	0.8253	0.8009	0.7445	0.8401	0.7868	0.7231	0.8711	0.8049	0.7320	0.7096	0.7825	0.8398	1279	30K cCRE + 5K iid + 5K human + 5K mouse + 5K chicken galGal6; cross-species axis SATURATES after one species
008_ccre_iid_double_mouse	0.7213	0.8132	0.7967	0.7796	0.7214	0.8133	0.7511	0.6759	0.8465	0.7693	0.7085	0.6844	0.7469	0.8133	948	30K cCRE + 5K iid + 5K human + 10K mouse; sharp regression - mouse mass saturates at 5K, cCRE 35->30 costly
009_ccre_iid_split_species	0.7289	0.8214	0.8035	0.7881	0.7289	0.8216	0.7608	0.6899	0.8565	0.7800	0.7161	0.6910	0.7558	0.8216	1282	35K cCRE + 5K iid + 5K human + 2.5K mouse + 2.5K chicken; per-species mass minimum >2.5K, big regression
010_ccre_iid_human_chicken	0.7599	0.8550	0.8413	0.8140	0.7599	0.8550	0.8044	0.7515	0.8872	0.8233	0.7464	0.7244	0.8016	0.8551	1311	35K cCRE + 5K iid + 5K human + 5K chicken galGal6; chicken > mouse; distance gradient confirmed; NEW BEST every eval
011_ccre_iid_human_zebrafish	0.7543	0.8491	0.8357	0.8098	0.7542	0.8492	0.7954	0.7405	0.8810	0.8162	0.7406	0.7191	0.7921	0.8494	1313	35K cCRE + 5K iid + 5K human + 5K zebrafish danRer11; gradient hump-shaped chicken>zebrafish>mouse
012_ccre_human_chicken_mouse_no_iid	0.7140	0.8048	0.7869	0.7724	0.7140	0.8049	0.7409	0.6405	0.8363	0.7593	0.7014	0.6771	0.7399	0.8049	927	35K cCRE + 5K human + 5K chicken + 5K mouse, NO IID; sharp collapse - iid is critical anchor
013_ccre_iid_chicken_mouse_no_human	0.7523	0.8485	0.8332	0.8103	0.7521	0.8486	0.7956	0.7442	0.8827	0.8181	0.7391	0.7165	0.7889	0.8488	1281	35K cCRE + 5K iid + 5K mouse + 5K chicken, NO HUMAN; iid value ~+0.049, mouse-on-chicken stacking ~0, cross-species caps at one species
014_ccre40k_iid_chicken	0.7285	0.8196	0.8020	0.7888	0.7284	0.8198	0.7531	0.7015	0.8579	0.7811	0.7155	0.6903	0.7419	0.8200	1274	40K cCRE + 5K iid + 5K chicken (no human, no mouse); cCRE elasticity past 35K NEGATIVE (~-0.031), human-gen also stabilizes seed variance
015_ccre30k_iid_human_chicken10k	0.7117	0.8037	0.7861	0.7683	0.7118	0.8037	0.7417	0.6624	0.8333	0.7600	0.6991	0.6752	0.7377	0.8037	827	30K cCRE + 5K iid + 5K human + 10K chicken; chicken 5->10K HURTS (-0.025), cross-species cap universal at 5K, cCRE 30->35 also costly
016_ccre_iid_chicken_dinucshuf	0.7065	0.7976	0.7771	0.7708	0.7066	0.7976	0.7236	0.6631	0.8374	0.7545	0.6941	0.6679	0.7148	0.7978	934	35K cCRE + 5K iid + 5K chicken + 5K dinuc-shuffled cCRE (no human); dinuc-shuffled value ~-0.055, hard negatives ACTIVELY HURT in activity regression
017_ccre_iid_human_xenopus	0.7460	0.8404	0.8248	0.8043	0.7459	0.8405	0.7848	0.7265	0.8747	0.8047	0.7329	0.7087	0.7793	0.8406	1297	35K cCRE + 5K iid + 5K human + 5K xenopus tropicalis xenTro10; xenopus < zebrafish < chicken, hump-shape theory FALSIFIED, chicken sharply special
018_ccre_functional_classes_iid_human_chicken	0.6989	0.7881	0.7671	0.7703	0.6988	0.7882	0.6992	0.6409	0.8358	0.7398	0.6863	0.6606	0.6938	0.7882	546	12K PLS + 12K pELS + 11K dELS (no CTCF/DNase) + 5K iid + 5K human + 5K chicken; -0.073 catastrophic, structural cCRE classes are CRITICAL
019_ccre_mild_rebalance_iid_human_chicken	0.7467	0.8414	0.8250	0.8065	0.7469	0.8415	0.7784	0.7227	0.8782	0.8029	0.7337	0.7093	0.7738	0.8415	1301	9K PLS + 9K pELS + 9K dELS + 4K CTCF + 4K DNase + 5K iid + 5K human + 5K chicken; -0.016 vs 010, decomposition: structural-removal -0.057 + rebalance -0.016 = 018's -0.073
020_ccre_structural_heavy_iid_human_chicken	0.7331	0.8273	0.8119	0.7881	0.7330	0.8275	0.7737	0.7028	0.8559	0.7917	0.7202	0.6977	0.7693	0.8273	935	5K PLS + 5K pELS + 5K dELS + 10K CTCF + 10K DNase + 5K iid + 5K human + 5K chicken; -0.030 vs 010, asymmetric bowl: structural-heavy hurts ~2x more than functional-heavy, optimum ~7K-each
021_ccre_iid_hg38_matched_human_chicken	0.7439	0.8383	0.8236	0.8000	0.7439	0.8384	0.7835	0.7187	0.8707	0.8021	0.7308	0.7089	0.7788	0.8383	1285	35K cCRE 7K-each + 5K hg38-mononuc-matched iid + 5K human + 5K chicken; -0.018 vs 010, iid value decomposes 30%/70% off-genome-composition / positional-randomness
022_ccre_iid_high_gc_human_chicken	0.7199	0.8119	0.7920	0.7817	0.7199	0.8117	0.7427	0.6819	0.8494	0.7687	0.7070	0.6803	0.7376	0.8122	922	35K cCRE 7K-each + 5K iid at 60% GC + 5K human + 5K chicken; -0.047 vs 010, composition effect non-monotonic, uniform 50% GC iid is uniquely optimal (CpG-island confusion at high GC)
023_ccre_iid_low_gc_human_chicken	0.7518	0.8468	0.8320	0.8077	0.7517	0.8469	0.7975	0.7169	0.8791	0.8095	0.7386	0.7154	0.7913	0.8469	1313	35K cCRE 7K-each + 5K iid at 30% GC + 5K human + 5K chicken; -0.010 vs 010, asymmetric composition penalty (low-GC mild vs high-GC severe), CpG-island confusion theory confirmed, iid axis FULLY MAPPED
024_ccre32k_iid7_5k_human_chicken	0.7107	0.8029	0.7852	0.7734	0.7107	0.8027	0.7356	0.6708	0.8378	0.7597	0.6978	0.6737	0.7292	0.8028	921	32.5K cCRE 6.5K-each + 7.5K iid + 5K human + 5K chicken; -0.056 vs 010, iid mass past 5K sharply harmful (-0.015/K negative marginal value), 010 confirmed at JOINT optimum of ~9 axes
025_ccre_iid_rc_ccre_chicken	0.7246	0.8174	0.8009	0.7858	0.7246	0.8171	0.7528	0.6921	0.8538	0.7821	0.7117	0.6887	0.7431	0.8175	931	35K cCRE 7K-each + 5K iid + 5K RC-cCRE + 5K chicken (replaces human-gen with reverse-complemented cCRE); -0.040 vs 010, RC-cCRE creates adversarial near-positives (loses strand-specific motifs), prepare.py NOT RC-augmenting, model is strand-aware
026_ccre_iid_platypus_chicken	0.7392	0.8331	0.8175	0.7974	0.7391	0.8334	0.7753	0.7245	0.8695	0.8001	0.7262	0.7026	0.7692	0.8334	1333	35K cCRE 7K-each + 5K iid + 5K platypus ornAna2 + 5K chicken (replaces human-gen with platypus); -0.023 vs 010, slot-4 wants same-species not cross-species, 4th-slot value monotonic in distance from human (mouse>platypus>RC>shuf), spread 0.055
027_ccre_iid_near_flank_chicken	0.7450	0.8402	0.8251	0.8042	0.7448	0.8402	0.7851	0.7248	0.8760	0.8059	0.7318	0.7086	0.7805	0.8403	1200	35K cCRE 7K-each + 5K iid + 5K NEAR-FLANK human-gen (200-2000bp from cCRE) + 5K chicken; -0.016 vs 010, near-cCRE-flanks are mild adversarial near-positives, completes near-positive ladder (deep-non-cCRE > near-flank > RC-cCRE > dinuc-shuf), slot-4 needs UNAMBIGUOUS non-cCRE
028_ccre_iid_mixed_human_chicken	0.7311	0.8241	0.8075	0.7932	0.7310	0.8244	0.7668	0.6956	0.8617	0.7858	0.7184	0.6944	0.7614	0.8243	1267	35K cCRE + 2.5K iid uniform 50% + 2.5K iid hg38-matched 41% + 5K human + 5K chicken (mixed iid); -0.033 vs 010, mixing is SUB-LINEAR (worse than EITHER pure composition), iid coherence axis discovered, anchors need 5K of single composition
029_ccre_iid_5kb_excl_chicken	0.7275	0.8211	0.8029	0.7868	0.7275	0.8212	0.7603	0.6948	0.8550	0.7820	0.7147	0.6903	0.7547	0.8211	1273	35K cCRE 7K-each + 5K iid + 5K human-gen with 5kb cCRE exclusion + 5K chicken (slot-4 deep-non-cCRE only); -0.037 vs 010, deep-excl biases toward AT-rich gene-deserts, slot-4 axis is U-shaped with optimum at 200bp
030_ccre_offset_iid_human_chicken	0.7238	0.8153	0.7969	0.7812	0.7236	0.8156	0.7543	0.6853	0.8466	0.7716	0.7109	0.6856	0.7477	0.8156	1263	35K cCRE with random ±50bp midpoint offset + 5K iid + 5K human + 5K chicken (positional augmentation); -0.043 vs 010, model is NOT position-invariant for cCRE windows, midpoint anchoring required, 010 has 15 verified joint constraints
