experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_uniform_random	0.6954	0.7848	0.7612	0.7494	0.6951	0.7853	0.6684	0.7841	0.8115	0.7564	0.6833	0.6553	0.6584	0.7851	914.5	uniform random ACGT, 50k x 200bp
002_encode_ccre	0.7133	0.8046	0.7870	0.7733	0.7133	0.8048	0.7452	0.6380	0.8385	0.7635	0.7010	0.6757	0.7422	0.8046	890.0	ENCODE SCREEN cCREs class-balanced, central 200bp
003_dinuc_shuffled_ccre	0.6500	0.7343	0.7169	0.6833	0.6498	0.7365	0.6675	0.6430	0.7392	0.7107	0.6408	0.6168	0.6880	0.7342	1245.0	Altschul-Erickson dinuc shuffle of exp 002 sequences
004_motif_injected_random	0.6861	0.7754	0.7503	0.7408	0.6856	0.7759	0.6636	0.7679	0.8029	0.7565	0.6743	0.6454	0.6460	0.7760	1291.0	1-5 JASPAR PWM instances injected into uniform-random backgrounds
005_ccre_random_mix	0.6951	0.7860	0.7668	0.7461	0.6952	0.7861	0.7026	0.6872	0.8077	0.7399	0.6827	0.6590	0.6999	0.7859	880.0	25K cCRE class-balanced + 25K uniform random, mixed
006_pls_only	0.5903	0.6657	0.6278	0.7022	0.5901	0.6655	0.5091	0.4774	0.7543	0.5925	0.5789	0.5372	0.4912	0.6661	599.0	50K from 47K PLS pool, with replacement, central 200bp
007_dels_only	0.7090	0.8014	0.7897	0.7417	0.7089	0.8017	0.7605	0.6720	0.8042	0.7779	0.6973	0.6782	0.7601	0.8015	917.0	50K from 1.47M dELS pool, no replacement, central 200bp
008_natural_proportion_ccre	0.7083	0.8018	0.7892	0.7466	0.7084	0.8022	0.7501	0.6603	0.8083	0.7718	0.6965	0.6772	0.7540	0.8017	910.1	50K cCREs uniform-sampled from full 2.35M pool (natural class proportions)
009_genomewide_random	0.6596	0.7424	0.7332	0.6922	0.6605	0.7433	0.7120	0.5351	0.7463	0.6808	0.6497	0.6320	0.7326	0.7413	821.0	50K uniform-random 200bp windows from hg38 main chroms, N-skipping, no annotation
010_repeatmasked_genomewide	0.6538	0.7364	0.7217	0.6799	0.6541	0.7373	0.6905	0.5891	0.7341	0.6896	0.6436	0.6226	0.7108	0.7360	825.0	50K uniform-random 200bp windows from hg38 main chroms, reject >50% soft-masked (repeats)
011_ca_only	0.6775	0.7667	0.7579	0.7048	0.6777	0.7671	0.7386	0.6193	0.7638	0.7437	0.6668	0.6509	0.7441	0.7665	525.0	50K from 246K CA (chromatin accessibility) cCRE pool, no replacement, central 200bp
012_pels_only	0.7203	0.8129	0.7958	0.7603	0.7203	0.8133	0.7489	0.6844	0.8238	0.7729	0.7083	0.6853	0.7473	0.8129	1278.0	50K from 249K pELS (proximal enhancer-like) cCRE pool, no replacement, central 200bp
013_pels_dels_combo	0.6936	0.7853	0.7699	0.7310	0.6936	0.7859	0.7270	0.6459	0.7921	0.7492	0.6825	0.6607	0.7278	0.7852	550.0	25K pELS + 25K dELS combined and shuffled
014_tf_only	0.6509	0.7333	0.7229	0.6793	0.6514	0.7344	0.7160	0.5401	0.7324	0.6842	0.6411	0.6227	0.7177	0.7327	906.0	50K from 105K TF (TF-bound, no chromatin marks) cCRE pool, no replacement, central 200bp
015_pels90_dels10	0.7008	0.7929	0.7770	0.7453	0.7007	0.7933	0.7287	0.6622	0.8067	0.7544	0.6889	0.6675	0.7279	0.7929	566.0	45K pELS + 5K dELS (90/10) shuffled
016_pels_rc_augmented	0.7048	0.7958	0.7800	0.7495	0.7047	0.7964	0.7254	0.6626	0.8123	0.7560	0.6930	0.6701	0.7230	0.7960	552.0	25K unique pELS + 25K reverse-complements, shuffled
017_pels_random_offset	0.7034	0.7956	0.7816	0.7421	0.7035	0.7961	0.7346	0.6604	0.8049	0.7485	0.6917	0.6721	0.7384	0.7952	558.0	50K pELS, 200bp window at random offset within each cCRE
018_ca_ctcf_only	0.6714	0.7565	0.7473	0.7064	0.6714	0.7569	0.7289	0.6034	0.7661	0.7352	0.6604	0.6429	0.7324	0.7565	866.0	50K from 126K CA-CTCF (chromatin-accessible CTCF-bound) cCRE pool, central 200bp
019_ca_h3k4me3_only	0.7095	0.8009	0.7884	0.7496	0.7095	0.8012	0.7563	0.6512	0.8125	0.7721	0.6974	0.6772	0.7540	0.8009	935.0	50K from 79K CA-H3K4me3 (chromatin-accessible + active-promoter mark) cCRE pool, central 200bp
020_ca_tf_only	0.5128	0.5808	0.5639	0.5634	0.5127	0.5808	0.5378	0.4085	0.6063	0.5571	0.5036	0.4817	0.5191	0.5811	591.0	50K from 26K CA-TF cCRE pool with replacement, central 200bp
021_pels_long	0.7141	0.8077	0.7874	0.7631	0.7142	0.8082	0.7315	0.6819	0.8259	0.7740	0.7021	0.6762	0.7200	0.8078	899.0	50K longest pELS cCREs (length-filter, ≥336bp), central 200bp
022_pels_short	0.7030	0.7927	0.7778	0.7454	0.7028	0.7932	0.7273	0.6653	0.8073	0.7500	0.6912	0.6700	0.7324	0.7927	959.0	50K shortest pELS cCREs (length-filter, ≤186bp), central 200bp
023_pels_mut1pct	0.7230	0.8144	0.7981	0.7659	0.7230	0.8147	0.7503	0.6916	0.8303	0.7765	0.7108	0.6877	0.7511	0.8144	922.0	50K pELS with 1% random base mutations (~2 subs per 200bp)
024_pels_mut3pct	0.6902	0.7821	0.7634	0.7347	0.6901	0.7826	0.7081	0.6611	0.7950	0.7412	0.6786	0.6549	0.7079	0.7821	571.0	50K pELS with 3% random base mutations (~6 subs per 200bp)
025_pels_mut0p5pct	0.7073	0.7997	0.7833	0.7497	0.7074	0.8002	0.7337	0.6723	0.8124	0.7572	0.6958	0.6735	0.7334	0.7998	954.0	50K pELS with 0.5% random base mutations (~1 sub per 200bp)
