experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	0.2307	0.2311	0.2334	0.2251	0.2311	0.2313	0.2141	0.0864	0.2251	0.2312	0.2313	0.2334	0.2087	0.2307	44	random 50% GC iid baseline
002_motif_cocktail	0.2541	0.2543	0.2565	0.2282	0.2543	0.2535	0.2559	0.0700	0.2282	0.2488	0.2535	0.2565	0.2416	0.2541	30	8 motifs/seq universal cocktail (AP1/CRE/ETS/Ebox/SP1/KLF/GATA/NFY)
003_motif_dense	0.2063	0.2060	0.2062	0.1928	0.2060	0.2066	0.1906	0.0538	0.1928	0.1877	0.2066	0.2062	0.1884	0.2063	31	same cocktail at 16 motifs/seq - density backfires
004_celltype_targeted	0.2468	0.2466	0.2489	0.2289	0.2466	0.2458	0.2397	0.0867	0.2289	0.2412	0.2458	0.2489	0.2295	0.2468	27	8 motifs/seq targeted (HNF/GATA/KLF/NEUROD/MEF2/BRN2 + AP1/CRE)
005_random_gc70	0.1448	0.1448	0.1323	0.1627	0.1448	0.1466	0.0639	0.0796	0.1627	0.1657	0.1466	0.1323	0.0585	0.1448	31	random at 70% GC - SKNSH crashes
006_random_gc30	0.2229	0.2226	0.2298	0.1855	0.2226	0.2230	0.2428	0.0394	0.1855	0.2046	0.2230	0.2298	0.2491	0.2229	36	random at 30% GC - HepG2 blooms K562 crashes
007_bipartite	0.1937	0.1938	0.1878	0.1929	0.1938	0.1941	0.1499	0.0718	0.1929	0.1962	0.1941	0.1878	0.1439	0.1937	32	AT half + GC half with cell-typed motifs - SKNSH hates structure
008_big4_activators	0.2282	0.2282	0.2279	0.2178	0.2282	0.2288	0.2181	0.0660	0.2178	0.2269	0.2288	0.2279	0.2063	0.2282	36	only AP1+CRE+SP1+NFY at 8/seq - worse than full cocktail
009_real_human_dna	0.3202	0.3205	0.3240	0.2732	0.3205	0.3199	0.3357	0.0712	0.2732	0.3020	0.3199	0.3240	0.3378	0.3202	32	real chr22 200bp tiles - BREAKTHROUGH +0.066 over best synth
010_ccre_enhancers	0.3077	0.3079	0.3109	0.2661	0.3079	0.3066	0.3321	0.0733	0.2661	0.2946	0.3066	0.3109	0.3178	0.3077	40	ENCODE cCRE PLS+pELS+dELS centered windows - GC-rich hurts HepG2
