experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	0.0420	0.0422	0.0413	0.0489	0.0422	0.0418	0.0254	0.1237	0.0489	0.0320	0.0418	0.0413	0.0203	0.0420	9.7	uniform random DNA
002_motif_cocktail	0.0386	0.0389	0.0379	0.0466	0.0389	0.0384	0.0245	0.1083	0.0466	0.0321	0.0384	0.0379	0.0201	0.0386	20.8	10 strong TF motifs per 200bp
003_identical_packed	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.0	50K identical copies (zero-diversity diagnostic)
004_markov_natural	-0.0052	-0.0053	-0.0063	-0.0019	-0.0053	-0.0058	-0.0003	-0.0149	-0.0019	0.0014	-0.0058	-0.0063	0.0052	-0.0052	19.0	order-2 Markov, human dinuc freqs
005_gc70_random	-0.0050	-0.0053	-0.0080	-0.0068	-0.0053	-0.0051	-0.0039	-0.0221	-0.0068	-0.0004	-0.0051	-0.0080	-0.0047	-0.0050	12.7	uniform random with 70% GC
006_chr22_real	0.0492	0.0490	0.0479	0.0565	0.0490	0.0479	0.0305	0.0592	0.0565	0.0264	0.0479	0.0479	0.0316	0.0492	27.1	real human chr22 200bp windows
007_variable_gc	0.0259	0.0257	0.0253	0.0315	0.0257	0.0248	0.0151	0.0420	0.0315	0.0175	0.0248	0.0253	0.0111	0.0259	31.4	per-seq GC ~ U(0.2,0.8) iid bases
008_chr19_real	0.0502	0.0503	0.0488	0.0592	0.0503	0.0498	0.0263	0.0551	0.0592	0.0299	0.0498	0.0488	0.0369	0.0502	10.4	real human chr19 200bp windows
009_cpg_islands	0.0264	0.0267	0.0241	0.0205	0.0267	0.0260	0.0097	0.0334	0.0205	0.0139	0.0260	0.0241	0.0033	0.0264	11.4	200bp windows from chr19+22 CpG islands
010_fantom5_enhancers	0.0324	0.0330	0.0339	0.0392	0.0330	0.0331	0.0182	0.0481	0.0392	0.0187	0.0331	0.0339	0.0167	0.0324	20.4	chr19+22 FANTOM5 enhancer windows
011_chr19_gcfilt	0.0439	0.0437	0.0430	0.0493	0.0437	0.0428	0.0258	0.0678	0.0493	0.0268	0.0428	0.0430	0.0277	0.0439	11.9	chr19 windows filtered 40-50% GC
012_mix_chr19_random	0.0483	0.0485	0.0474	0.0581	0.0485	0.0477	0.0300	0.1048	0.0581	0.0300	0.0477	0.0474	0.0299	0.0483	19.0	25K chr19 + 25K uniform random
013_chr19_variable_tata	0.0341	0.0341	0.0334	0.0296	0.0341	0.0341	0.0190	0.0550	0.0296	0.0269	0.0341	0.0334	0.0186	0.0341	14.6	chr19 + 0-10 TATA boxes per seq
014_chr1_real	0.0489	0.0490	0.0474	0.0514	0.0490	0.0476	0.0296	0.0317	0.0514	0.0250	0.0476	0.0474	0.0364	0.0489	10.9	real human chr1 200bp windows
015_chr19_norepeat	0.0358	0.0360	0.0352	0.0346	0.0360	0.0366	0.0176	0.0581	0.0346	0.0226	0.0366	0.0352	0.0261	0.0358	18.0	chr19 windows 100% non-repeat (uppercase only)
016_chr19_repeatonly	0.0518	0.0516	0.0500	0.0581	0.0516	0.0508	0.0295	0.0469	0.0581	0.0267	0.0508	0.0500	0.0383	0.0518	30.0	chr19 windows 100% lowercase (repeats only) - NEW BEST
017_alu_synthetic	0.0027	0.0031	0.0030	0.0004	0.0031	0.0023	0.0013	0.0144	0.0004	-0.0058	0.0023	0.0030	-0.0012	0.0027	10.0	AluY consensus + 15% mutation (narrow library)
018_multichr_repeat	0.0484	0.0484	0.0476	0.0548	0.0484	0.0472	0.0351	0.0389	0.0548	0.0208	0.0472	0.0476	0.0420	0.0484	31.0	repeat-only pooled from chr1+19+22
019_chr19rep_revcomp	0.0481	0.0480	0.0468	0.0587	0.0480	0.0470	0.0343	0.0395	0.0587	0.0251	0.0470	0.0468	0.0381	0.0481	12.0	25K chr19 repeat-only + 25K rev-comp
020_chr19rep_seed2	0.0488	0.0487	0.0489	0.0588	0.0487	0.0482	0.0340	0.0498	0.0588	0.0220	0.0482	0.0489	0.0380	0.0488	15.0	chr19 repeat-only seed=2020 (noise check)
021_chr19_mutgradient	0.0480	0.0478	0.0465	0.0582	0.0478	0.0473	0.0285	0.0798	0.0582	0.0348	0.0473	0.0465	0.0324	0.0480	41.0	chr19 with per-seq mutation rate 0-50%
022_chr19_tfbs	0.0431	0.0431	0.0424	0.0492	0.0431	0.0428	0.0246	0.0594	0.0492	0.0300	0.0428	0.0424	0.0241	0.0431	17.0	chr19 windows centered on ENCODE TFBS clusters
023_chr19_shuffled	0.0387	0.0386	0.0358	0.0377	0.0386	0.0378	0.0253	0.0781	0.0377	0.0236	0.0378	0.0358	0.0156	0.0387	17.0	chr19 windows shuffled (composition preserved, no grammar)
024_chr19_seed42	0.0518	0.0517	0.0506	0.0584	0.0517	0.0507	0.0319	0.0525	0.0584	0.0257	0.0507	0.0506	0.0360	0.0518	11.7	chr19 plain random windows, seed=42
025_chr19_seed99	0.0517	0.0516	0.0480	0.0570	0.0516	0.0506	0.0306	0.0503	0.0570	0.0279	0.0506	0.0480	0.0318	0.0517	16.6	chr19 plain random windows, seed=99
026_chr19rep_seed42	0.0512	0.0511	0.0502	0.0566	0.0511	0.0502	0.0330	0.0494	0.0566	0.0221	0.0502	0.0502	0.0382	0.0512	17.0	chr19 repeat-only, seed=42
