experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_baseline	0.4637	0.4633	0.4629	0.4018	0.4633	0.4622	0.5069	0.1512	0.4018	0.4736	0.4622	0.4629	0.4895	0.4637	9.5	uniform random
002_gc_rich	-0.2388	-0.2421	-0.2902	0.1435	-0.2421	-0.2299	-0.5879	0.0571	0.1435	-0.2286	-0.2299	-0.2902	-0.5566	-0.2388	12	60% GC biased
003_at_rich	0.4663	0.4685	0.5025	0.0893	0.4685	0.4604	0.7117	0.0411	0.0893	0.4834	0.4604	0.5025	0.6897	0.4663	9	40% GC biased
004_gc30_extreme	0.4983	0.4998	0.5256	0.1494	0.4998	0.4928	0.6972	0.0689	0.1494	0.5229	0.4928	0.5256	0.6737	0.4983	10	30% GC extreme AT
005_real_human_chr22	0.6780	0.6791	0.6889	0.5809	0.6791	0.6786	0.7462	0.1230	0.5809	0.6527	0.6786	0.6889	0.7426	0.6780	12	hg38 chr22 random 200bp slices
006_ccre_all	0.6840	0.6846	0.6887	0.6093	0.6846	0.6838	0.7412	0.1279	0.6093	0.6542	0.6838	0.6887	0.7241	0.6840	14	ENCODE cCREs all categories
007_whole_genome	0.6149	0.6166	0.6370	0.3842	0.6166	0.6137	0.7595	0.0860	0.3842	0.6026	0.6137	0.6370	0.7564	0.6149	17	whole hg38 random
008_pls_promoters	0.0879	0.0857	0.0584	0.3592	0.0857	0.0950	-0.0965	0.0933	0.3592	0.0743	0.0950	0.0584	-0.0789	0.0879	21	PLS only (promoter-like) cCREs
009_dels_enhancers	0.6711	0.6719	0.6807	0.5472	0.6719	0.6711	0.7500	0.1272	0.5472	0.6604	0.6711	0.6807	0.7364	0.6711	18	dELS distal enhancers
010_chr22_dinuc_shuffled	0.5709	0.5714	0.5815	0.3578	0.5714	0.5687	0.6858	0.1556	0.3578	0.6054	0.5687	0.5815	0.6650	0.5709	10	chr22 per-seq mononuc shuffled
011_mixed_chr22_wholegenome	0.6571	0.6585	0.6734	0.5011	0.6585	0.6573	0.7599	0.1088	0.5011	0.6421	0.6573	0.6734	0.7580	0.6571	27	mix 25k chr22 + 25k whole genome
012_fantom5_enhancers	0.6561	0.6567	0.6631	0.5223	0.6567	0.6549	0.7355	0.1298	0.5223	0.6538	0.6549	0.6631	0.7180	0.6561	36	FANTOM5 permissive enhancers
